image_id,health_score,remaining_life_km,remaining_life_pred,risk_score,risk_level,replacement_urgency,replace_recommended
IMG_19022620 - Viren Viren.jpg,4.61,9417.0,11.770833333333334,50,MODERATE,Immediate,True
IMG_19022621 - Viren Viren.jpg,5.51,17250.0,21.5625,30,MODERATE,High,True
IMG_19022622 - Viren Viren.jpg,5.6,19062.0,23.828124999999996,0,LOW,High,True
IMG_19022623 - Viren Viren.jpg,5.61,19250.0,24.062499999999993,0,LOW,High,True
IMG_19022624 - Viren Viren.jpg,5.55,17969.0,22.460937499999993,0,LOW,High,True
IMG_19022625 - Viren Viren.jpg,5.1,8958.0,11.197916666666668,30,MODERATE,Immediate,True
IMG_19022626 - Viren Viren.jpg,5.13,9542.0,11.92708333333333,30,MODERATE,Immediate,True
IMG_19022627 - Viren Viren.jpg,5.15,9958.0,12.447916666666663,30,MODERATE,Immediate,True
IMG_19022628 - Viren Viren.jpg,4.34,9750.0,12.187499999999996,50,MODERATE,Immediate,True
IMG_19022629 - Viren Viren.jpg,1.96,0.0,0.0,85,CRITICAL,Immediate,True
IMG_19022630 - Viren Viren.jpg,1.9,0.0,0.0,85,CRITICAL,Immediate,True
IMG_19022631 - Viren Viren.jpg,4.77,2333.0,2.916666666666661,30,MODERATE,Immediate,True
IMG_19022632 - Viren Viren.jpg,5.25,12000.0,15.0,30,MODERATE,Immediate,True
IMG_19022633 - Viren Viren.jpg,1.54,0.0,0.0,85,CRITICAL,Immediate,True
IMG_19022634 - Viren Viren.jpg,1.92,0.0,0.0,85,CRITICAL,Immediate,True
IMG_19022635 - Viren Viren.jpg,1.84,0.0,0.0,85,CRITICAL,Immediate,True
IMG_19022636 - Viren Viren.jpg,4.74,1708.0,2.135416666666664,30,MODERATE,Immediate,True
IMG_19022637 - Viren Viren.jpg,5.6,18917.0,23.64583333333333,0,LOW,High,True
IMG_19022638 - Viren Viren.jpg,5.66,20292.0,25.36458333333333,0,LOW,High,True
IMG_19022639 - Viren Viren.jpg,5.76,22292.0,27.864583333333332,0,LOW,High,True
IMG_19022640 - Viren Viren.jpg,5.82,23375.0,29.21875,0,LOW,High,True
IMG_19022641 - Viren Viren.jpg,5.77,22312.0,27.890625000000004,0,LOW,High,True
IMG_19022642 - Viren Viren.jpg,5.66,20125.0,25.156249999999996,0,LOW,High,True
IMG_19022643 - Viren Viren.jpg,4.97,22438.0,28.046875000000004,20,LOW,High,True
IMG_19022644 - Viren Viren.jpg,5.62,19313.0,24.140625000000004,0,LOW,High,True
IMG_19022645 - Viren Viren.jpg,5.56,18125.0,22.656249999999993,0,LOW,High,True
IMG_19022646 - Viren Viren.jpg,5.28,12594.0,15.742187499999996,30,MODERATE,Immediate,True
IMG_19022647 - Viren Viren.jpg,5.32,13469.0,16.8359375,30,MODERATE,Immediate,True
IMG_7342[1] - Viren Viren.JPG,4.95,5969.0,7.460937500000001,30,MODERATE,Immediate,True
IMG_7345 - Ubaid Elahi Baba.jpeg,4.17,4406.0,5.507812500000001,50,MODERATE,Immediate,True
IMG_7348 - Ubaid Elahi Baba.jpeg,5.11,9125.0,11.40625,30,MODERATE,Immediate,True
IMG_7351 - Ubaid Elahi Baba.jpeg,5.32,13406.0,16.757812499999996,30,MODERATE,Immediate,True
IMG_7354 - Ubaid Elahi Baba.jpeg,5.38,22656.0,28.3203125,0,LOW,High,True
IMG_7357 - Ubaid Elahi Baba.jpeg,5.9,25031.0,31.289062499999996,0,LOW,High,True
IMG_7361 - Ubaid Elahi Baba.jpeg,5.76,22188.0,27.734375000000007,0,LOW,High,True
IMG_7364 - Ubaid Elahi Baba.jpeg,5.76,22219.0,27.773437500000004,0,LOW,High,True
IMG_7367 - Ubaid Elahi Baba.jpeg,4.96,6250.0,7.8125,30,MODERATE,Immediate,True
IMG_7370 - Ubaid Elahi Baba.jpeg,4.51,7125.0,8.906249999999998,50,MODERATE,Immediate,True
IMG_7373 - Ubaid Elahi Baba.jpeg,1.88,0.0,0.0,85,CRITICAL,Immediate,True
IMG_7376 - Ubaid Elahi Baba.jpeg,4.79,10833.0,13.541666666666666,30,MODERATE,Immediate,True
IMG_7380 - Ubaid Elahi Baba.jpeg,4.96,6208.0,7.760416666666659,30,MODERATE,Immediate,True
IMG_7384 - Ubaid Elahi Baba.jpeg,4.98,6667.0,8.333333333333332,30,MODERATE,Immediate,True
IMG_7387 - Ubaid Elahi Baba.jpeg,5.93,25667.0,32.08333333333332,0,LOW,High,True
IMG_7390 - Ubaid Elahi Baba.jpeg,5.92,25375.0,31.71875,0,LOW,High,True
IMG_7394 - Ubaid Elahi Baba.jpeg,4.79,2792.0,3.489583333333331,30,MODERATE,Immediate,True
IMG_7398 - Ubaid Elahi Baba.jpeg,4.92,5458.0,6.822916666666664,30,MODERATE,Immediate,True
IMG_7401 - Ubaid Elahi Baba.jpeg,5.3,12958.0,16.197916666666664,30,MODERATE,Immediate,True
IMG_7405 - Ubaid Elahi Baba.jpeg,5.17,10417.0,13.020833333333334,30,MODERATE,Immediate,True
IMG_7408 - Ubaid Elahi Baba.jpeg,1.53,0.0,0.0,85,CRITICAL,Immediate,True
IMG_7411 - Ubaid Elahi Baba.jpeg,1.54,0.0,0.0,85,CRITICAL,Immediate,True
IMG_7415 - Ubaid Elahi Baba.jpeg,1.13,0.0,0.0,100,CRITICAL,Immediate,True
IMG_7418 - Ubaid Elahi Baba.jpeg,1.42,0.0,0.0,85,CRITICAL,Immediate,True
IMG_7421 - Ubaid Elahi Baba.jpeg,4.85,4083.0,5.104166666666663,30,MODERATE,Immediate,True
IMG_7424 - Ubaid Elahi Baba.jpeg,4.97,6500.0,8.125,30,MODERATE,Immediate,True
IMG_7427 - Ubaid Elahi Baba.jpeg,2.0,0.0,0.0,85,CRITICAL,Immediate,True
IMG_7430 - Ubaid Elahi Baba.jpeg,3.94,1833.0,2.2916666666666674,50,MODERATE,Immediate,True
IMG_7433 - Ubaid Elahi Baba.jpeg,4.55,8292.0,10.364583333333337,50,MODERATE,Immediate,True
IMG_7436 - Ubaid Elahi Baba.jpeg,1.79,0.0,0.0,100,CRITICAL,Immediate,True
IMG_7439 - Ubaid Elahi Baba.jpeg,4.34,3375.0,4.2187499999999964,50,MODERATE,Immediate,True
IMG_7442 - Ubaid Elahi Baba.jpeg,1.29,0.0,0.0,100,CRITICAL,Immediate,True
IMG_7445 - Ubaid Elahi Baba.jpeg,1.43,0.0,0.0,85,CRITICAL,Immediate,True
IMG_7448 - Ubaid Elahi Baba.jpeg,1.56,0.0,0.0,85,CRITICAL,Immediate,True
IMG_7451 - Ubaid Elahi Baba.jpeg,4.7,1000.0,1.2499999999999976,30,MODERATE,Immediate,True
IMG_7454 - Ubaid Elahi Baba.jpeg,4.17,6417.0,8.02083333333333,50,MODERATE,Immediate,True
IMG_7457 - Ubaid Elahi Baba.jpeg,5.14,17833.0,22.291666666666668,0,LOW,High,True
IMG_7460 - Ubaid Elahi Baba.jpeg,4.69,833.0,1.0416666666666665,30,MODERATE,Immediate,True
IMG_7463 - Ubaid Elahi Baba.jpeg,4.86,4167.0,5.208333333333332,30,MODERATE,Immediate,True
IMG_7463[1] - Viren Viren.JPG,5.91,25292.0,31.614583333333336,0,LOW,High,True
IMG_7469[2] - Viren Viren.JPG,5.75,22000.0,27.499999999999996,0,LOW,High,True
IMG_7472[1] - Viren Viren.JPG,5.87,24375.0,30.468749999999993,0,LOW,High,True
IMG_7475[1] - Viren Viren.JPG,5.19,10750.0,13.437499999999996,30,MODERATE,Immediate,True
IMG_7478[1] - Viren Viren.JPG,5.28,12562.0,15.703124999999998,30,MODERATE,Immediate,True
IMG_7481[1] - Viren Viren.JPG,1.46,0.0,0.0,85,CRITICAL,Immediate,True
IMG_7484[1] - Viren Viren.JPG,1.39,0.0,0.0,100,CRITICAL,Immediate,True
IMG_7487[2] - Viren Viren.JPG,1.33,0.0,0.0,85,CRITICAL,Immediate,True
IMG_7490[1] - Viren Viren.JPG,1.2,0.0,0.0,85,CRITICAL,Immediate,True
IMG_7493[1] - Viren Viren.JPG,1.96,0.0,0.0,85,CRITICAL,Immediate,True
IMG_7496[1] - Viren Viren.JPG,4.21,667.0,0.8333333333333317,50,MODERATE,Immediate,True
IMG_7499[2] - Viren Viren.JPG,1.54,0.0,0.0,85,CRITICAL,Immediate,True
IMG_7502[1] - Viren Viren.JPG,1.18,0.0,0.0,85,CRITICAL,Immediate,True
IMG_7509[1] - Viren Viren.JPG,5.58,18583.0,23.22916666666666,0,LOW,High,True
IMG_7512[1] - 25cp08 tyre.JPG,5.55,17917.0,22.39583333333333,0,LOW,High,True
IMG_7515[1] - Viren Viren.JPG,5.84,23833.0,29.79166666666666,0,LOW,High,True
IMG_7518[1] - 25cp08 tyre.JPG,4.33,3292.0,4.114583333333331,50,MODERATE,Immediate,True
IMG_7524 - Ubaid Elahi Baba.jpeg,5.4,14958.0,18.697916666666668,30,MODERATE,Immediate,True
IMG_7527 - Ubaid Elahi Baba.jpeg,5.48,16542.0,20.677083333333332,30,MODERATE,High,True
IMG_7530 - Ubaid Elahi Baba.jpeg,5.03,7542.0,9.427083333333329,30,MODERATE,Immediate,True
IMG_7533 - Ubaid Elahi Baba.jpeg,4.13,5667.0,7.08333333333333,50,MODERATE,Immediate,True
IMG_7536 - Ubaid Elahi Baba.jpeg,5.64,19708.0,24.63541666666666,0,LOW,High,True
IMG_7539 - Ubaid Elahi Baba.jpeg,5.56,18208.0,22.760416666666664,0,LOW,High,True
IMG_7542 - Ubaid Elahi Baba.jpeg,4.0,3042.0,3.8020833333333344,50,MODERATE,Immediate,True
IMG_7546 - Ubaid Elahi Baba.jpeg,3.55,1750.0,2.1874999999999987,70,HIGH,Immediate,True
IMG_7549 - Ubaid Elahi Baba.jpeg,1.76,0.0,0.0,100,CRITICAL,Immediate,True
IMG_7552 - Ubaid Elahi Baba.jpeg,4.26,1583.0,1.9791666666666639,50,MODERATE,Immediate,True
IMG_7555 - Ubaid Elahi Baba.jpeg,4.8,13542.0,16.927083333333336,50,MODERATE,Immediate,True
IMG_7558 - Ubaid Elahi Baba.jpeg,1.79,0.0,0.0,85,CRITICAL,Immediate,True
IMG_7561 - Ubaid Elahi Baba.jpeg,4.52,13458.0,16.822916666666675,50,MODERATE,Immediate,True
IMG_7561[1] - Viren Viren.JPG,4.6,15000.0,18.749999999999993,50,MODERATE,Immediate,True
IMG_7564[1] - Viren Viren.JPG,4.19,6781.0,8.4765625,50,MODERATE,Immediate,True
IMG_7567[1] - Viren Viren.JPG,4.91,5281.0,6.601562499999998,30,MODERATE,Immediate,True
IMG_7570[1] - Viren Viren.JPG,6.12,29458.0,36.822916666666664,0,LOW,High,True
IMG_7573[1] - Viren Viren.JPG,5.16,26167.0,32.70833333333333,20,LOW,High,True
IMG_7576[1] - Viren Viren.JPG,6.08,28583.0,35.729166666666664,0,LOW,High,True
IMG_7579[1] - Viren Viren.JPG,6.12,29417.0,36.77083333333332,0,LOW,High,True
IMG_7582[1] - Viren Viren.JPG,4.74,1781.0,2.226562499999998,30,MODERATE,Immediate,True
IMG_7585[1] - Viren Viren.JPG,3.92,1406.0,1.7578124999999973,50,MODERATE,Immediate,True
IMG_7588[1] - Viren Viren.JPG,1.61,0.0,0.0,85,CRITICAL,Immediate,True
IMG_7591[1] - Viren Viren.JPG,1.72,0.0,0.0,85,CRITICAL,Immediate,True
IMG_7594[1] - Viren Viren.JPG,5.86,24250.0,30.312499999999996,0,LOW,High,True
IMG_7597[1] - Viren Viren.JPG,5.92,25437.0,31.796874999999993,0,LOW,High,True
IMG_7600[1] - Viren Viren.JPG,5.87,24344.0,30.429687500000004,0,LOW,High,True
IMG_7603[1] - Viren Viren.JPG,5.22,19375.0,24.218749999999996,0,LOW,High,True
IMG_7879[1] - Viren Viren.JPG,1.76,0.0,0.0,100,CRITICAL,Immediate,True
IMG_7882[1] - Viren Viren.JPG,1.76,0.0,0.0,100,CRITICAL,Immediate,True
IMG_7885[1] - Viren Viren.JPG,3.47,208.0,0.2604166666666692,70,HIGH,Immediate,True
IMG_7888[1] - Viren Viren.JPG,3.73,5750.0,7.187499999999999,70,HIGH,Immediate,True
IMG_7891[1] - Viren Viren.JPG,4.57,14438.0,18.046875000000004,50,MODERATE,Immediate,True
IMG_7897[1] - Viren Viren.JPG,4.27,8344.0,10.4296875,50,MODERATE,Immediate,True
IMG_7900[1] - Viren Viren.JPG,5.03,7687.0,9.609374999999996,30,MODERATE,Immediate,True
IMG_7903[1] - Viren Viren.JPG,1.6,0.0,0.0,100,CRITICAL,Immediate,True
IMG_7906[1] - Viren Viren.JPG,1.6,0.0,0.0,100,CRITICAL,Immediate,True
IMG_7909[1] - Viren Viren.JPG,1.49,0.0,0.0,100,CRITICAL,Immediate,True
IMG_7912[1] - Viren Viren.JPG,4.21,500.0,0.6249999999999971,50,MODERATE,Immediate,True
IMG_7915[1] - Viren Viren.JPG,1.77,0.0,0.0,100,CRITICAL,Immediate,True
IMG_7918[1] - Viren Viren.JPG,4.38,4375.0,5.468749999999998,50,MODERATE,Immediate,True
IMG_7921[1] - Viren Viren.JPG,1.99,0.0,0.0,85,CRITICAL,Immediate,True
IMG_7924[1] - Viren Viren.JPG,4.79,2833.0,3.5416666666666687,30,MODERATE,Immediate,True
IMG_7927[1] - Viren Viren.JPG,4.57,14458.0,18.072916666666675,50,MODERATE,Immediate,True
IMG_7930[1] - Viren Viren.JPG,4.83,19667.0,24.583333333333332,20,LOW,High,True
IMG_7933[1] - Viren Viren.JPG,4.93,5583.0,6.979166666666668,30,MODERATE,Immediate,True
IMG_7936[1] - Viren Viren.JPG,5.4,15000.0,18.750000000000004,30,MODERATE,Immediate,True
IMG_7939[1] - Viren Viren.JPG,4.44,11750.0,14.687500000000005,50,MODERATE,Immediate,True
IMG_7942[1] - Viren Viren.JPG,5.14,9875.0,12.34375,30,MODERATE,Immediate,True
IMG_7945[1] - Viren Viren.JPG,5.12,9500.0,11.874999999999996,30,MODERATE,Immediate,True
IMG_7948[1] - Viren Viren.JPG,5.22,11458.0,14.322916666666657,30,MODERATE,Immediate,True
IMG_7951[1] - Viren Viren.JPG,1.64,0.0,0.0,100,CRITICAL,Immediate,True
IMG_7954[1] - Viren Viren.JPG,1.52,0.0,0.0,100,CRITICAL,Immediate,True
IMG_7957[1] - Viren Viren.JPG,5.25,12083.0,15.104166666666668,30,MODERATE,Immediate,True
IMG_7960[1] - Viren Viren.JPG,4.51,13292.0,16.614583333333336,50,MODERATE,Immediate,True
IMG_8169[1] - Viren Viren.JPG,5.8,23062.0,28.828125,0,LOW,High,True
IMG_8172[1] - Viren Viren.JPG,5.81,23250.0,29.062499999999996,0,LOW,High,True
IMG_8175[1] - Viren Viren.JPG,5.84,23844.0,29.804687499999993,0,LOW,High,True
IMG_8178[1] - Viren Viren.JPG,4.58,6625.0,8.281249999999996,30,MODERATE,Immediate,True
IMG_8181[1] - Viren Viren.JPG,4.47,12312.0,15.390624999999996,50,MODERATE,Immediate,True
IMG_8187[1] - Viren Viren.JPG,4.91,13156.0,16.445312499999996,30,MODERATE,Immediate,True
IMG_8197[1] - Viren Viren.JPG,1.7,0.0,0.0,85,CRITICAL,Immediate,True
IMG_8200[1] - Viren Viren.JPG,4.98,6625.0,8.281249999999996,30,MODERATE,Immediate,True
IMG_8203[1] - Viren Viren.JPG,5.47,16375.0,20.46875,30,MODERATE,High,True
IMG_8207[1] - Viren Viren.JPG,4.67,375.0,0.46875000000000044,30,MODERATE,Immediate,True
IMG_8210[1] - Viren Viren.JPG,3.84,8469.0,10.585937499999996,70,HIGH,Immediate,True
IMG_8214[1] - Viren Viren.JPG,1.52,0.0,0.0,100,CRITICAL,Immediate,True
IMG_8217[1] - Viren Viren.JPG,5.08,19719.0,24.6484375,20,LOW,High,True
IMG_8221[1] - Viren Viren.JPG,5.56,18187.0,22.734374999999993,0,LOW,High,True
IMG_8224[1] - Viren Viren.JPG,5.43,15562.0,19.453125,30,MODERATE,Immediate,True
IMG_8227[1] - Viren Viren.JPG,5.42,15312.0,19.140624999999993,30,MODERATE,Immediate,True
IMG_8231[1] - Viren Viren.JPG,4.72,17500.0,21.874999999999996,20,LOW,High,True
IMG_8234[1] - Viren Viren.JPG,5.14,9844.0,12.304687500000002,30,MODERATE,Immediate,True
IMG_8237[1] - Viren Viren.JPG,5.12,9406.0,11.7578125,30,MODERATE,Immediate,True
IMG_8240[1] - Viren Viren.JPG,4.41,11250.0,14.062500000000005,50,MODERATE,Immediate,True
IMG_8243[1] - Viren Viren.JPG,5.2,11000.0,13.749999999999998,30,MODERATE,Immediate,True
IMG_8246[1] - Viren Viren.JPG,4.71,1281.0,1.6015625000000004,30,MODERATE,Immediate,True
IMG_8250[1] - Viren Viren.JPG,1.92,0.0,0.0,85,CRITICAL,Immediate,True
IMG_8253[1] - Viren Viren.JPG,1.88,0.0,0.0,85,CRITICAL,Immediate,True
IMG_8277[1] - Viren Viren.JPG,5.69,20708.0,25.88541666666666,0,LOW,High,True
IMG_8280[1] - Viren Viren.JPG,1.74,0.0,0.0,85,CRITICAL,Immediate,True
IMG_8283[1] - Viren Viren.JPG,1.56,0.0,0.0,85,CRITICAL,Immediate,True
IMG_8286[1] - Viren Viren.JPG,1.77,0.0,0.0,85,CRITICAL,Immediate,True
IMG_8289[1] - Viren Viren.JPG,1.55,0.0,0.0,100,CRITICAL,Immediate,True
IMG_8292[1] - Viren Viren.JPG,1.59,0.0,0.0,100,CRITICAL,Immediate,True
IMG_8295[1] - Viren Viren.JPG,4.43,5333.0,6.666666666666668,50,MODERATE,Immediate,True
IMG_8298[1] - Viren Viren.JPG,5.84,23792.0,29.739583333333336,0,LOW,High,True
IMG_8301[1] - Viren Viren.JPG,5.26,12250.0,15.312499999999993,30,MODERATE,Immediate,True
IMG_8304[1] - Viren Viren.JPG,5.67,20333.0,25.41666666666666,0,LOW,High,True
IMG_8307[1] - Viren Viren.JPG,4.91,16250.0,20.312499999999996,50,MODERATE,High,True
IMG_8310[1] - Viren Viren.JPG,5.72,21417.0,26.77083333333333,0,LOW,High,True
IMG_8313[1] - Viren Viren.JPG,1.75,0.0,0.0,100,CRITICAL,Immediate,True
IMG_8316[1] - Viren Viren.JPG,4.24,1292.0,1.614583333333329,50,MODERATE,Immediate,True
IMG_8319[1] - Viren Viren.JPG,5.69,20833.0,26.041666666666668,0,LOW,High,True
IMG_8322[1] - Viren Viren.JPG,5.86,24125.0,30.156249999999996,0,LOW,High,True
IMG_8325[1] - Viren Viren.JPG,1.72,0.0,0.0,100,CRITICAL,Immediate,True
IMG_8328[1] - Viren Viren.JPG,1.73,0.0,0.0,100,CRITICAL,Immediate,True
IMG_8372[1] - Viren Viren.JPG,5.65,20031.0,25.039062499999993,0,LOW,High,True
IMG_8375[1] - Viren Viren.JPG,5.38,14656.0,18.320312499999996,30,MODERATE,Immediate,True
IMG_8381[1] - Viren Viren.JPG,4.41,11188.0,13.984374999999998,50,MODERATE,Immediate,True
IMG_8384[1] - Viren Viren.JPG,4.82,11312.0,14.140624999999996,30,MODERATE,Immediate,True
IMG_8387[1] - Viren Viren.JPG,4.73,9656.0,12.0703125,30,MODERATE,Immediate,True
IMG_8394[1] - Viren Viren.JPG,4.82,3500.0,4.375,30,MODERATE,Immediate,True
IMG_8397[1] - Viren Viren.JPG,4.68,542.0,0.6770833333333316,30,MODERATE,Immediate,True
IMG_8400[1] - Viren Viren.JPG,1.97,0.0,0.0,85,CRITICAL,Immediate,True
IMG_8403[1] - Viren Viren.JPG,5.24,11875.0,14.843750000000004,30,MODERATE,Immediate,True
IMG_8406[1] - Viren Viren.JPG,5.13,17656.0,22.0703125,0,LOW,High,True
IMG_8409[1] - Viren Viren.JPG,5.75,21969.0,27.460937499999993,0,LOW,High,True
IMG_8412[1] - Viren Viren.JPG,4.53,13500.0,16.874999999999993,50,MODERATE,Immediate,True
IMG_8415[1] - Viren Viren.JPG,4.82,19500.0,24.375,20,LOW,High,True
IMG_8418[1] - Viren Viren.JPG,5.85,24042.0,30.05208333333333,0,LOW,High,True
IMG_8421[1] - Viren Viren.JPG,5.57,18417.0,23.020833333333325,0,LOW,High,True
IMG_8424[1] - Viren Viren.JPG,5.67,20375.0,25.468749999999996,0,LOW,High,True
IMG_8427[1] - Viren Viren.JPG,1.48,0.0,0.0,85,CRITICAL,Immediate,True
IMG_8430[1] - Viren Viren.JPG,5.02,7375.0,9.218749999999998,30,MODERATE,Immediate,True
IMG_8433[1] - Viren Viren.JPG,4.61,7125.0,8.906249999999998,30,MODERATE,Immediate,True
IMG_8436[1] - Viren Viren.JPG,5.72,21500.0,26.875,0,LOW,High,True
IMG_8439[1] - Viren Viren.JPG,4.87,20375.0,25.468749999999996,20,LOW,High,True
IMG_8442[1] - Viren Viren.JPG,5.91,25167.0,31.45833333333333,0,LOW,High,True
IMG_8445[1] - Viren Viren.JPG,5.57,18375.0,22.96875,0,LOW,High,True
IMG_8448[1] - Viren Viren.JPG,5.74,21833.0,27.291666666666657,0,LOW,High,True
IMG_8451[1] - Viren Viren.JPG,5.57,18333.0,22.91666666666666,0,LOW,High,True
IMG_8454[1] - Viren Viren.JPG,5.7,21083.0,26.35416666666666,0,LOW,High,True
IMG_8458[1] - Viren Viren.JPG,5.59,18875.0,23.593749999999996,0,LOW,High,True
IMG_8461[1] - Viren Viren.JPG,4.95,6094.0,7.617187499999997,30,MODERATE,Immediate,True
IMG_8464[1] - Viren Viren.JPG,4.9,5000.0,6.249999999999998,30,MODERATE,Immediate,True
IMG_8467[1] - Viren Viren.JPG,4.85,19906.0,24.882812499999996,20,LOW,High,True
IMG_8469[1] - Viren Viren.JPG,5.28,12625.0,15.781249999999996,30,MODERATE,Immediate,True
IMG_8472[1] - Viren Viren.JPG,5.48,16562.0,20.703124999999993,30,MODERATE,High,True
IMG_8476[1] - Viren Viren.JPG,5.41,15219.0,19.023437500000004,30,MODERATE,Immediate,True
IMG_8479[1] - Viren Viren.JPG,5.65,19906.0,24.882812499999996,0,LOW,High,True
IMG_8482[1] - Viren Viren.JPG,5.0,7000.0,8.749999999999995,30,MODERATE,Immediate,True
IMG_8485[1] - Viren Viren.JPG,5.31,13187.0,16.484374999999996,30,MODERATE,Immediate,True
IMG_8489[1] - Viren Viren.JPG,4.93,5531.0,6.914062500000005,30,MODERATE,Immediate,True
IMG_8491[1] - Viren Viren.JPG,5.64,19750.0,24.687499999999993,0,LOW,High,True
IMG_8494[1] - Viren Viren.JPG,4.73,19562.0,24.453124999999996,20,LOW,High,True
IMG_8497[1] - Viren Viren.JPG,4.53,13531.0,16.9140625,50,MODERATE,Immediate,True
IMG_8500[1] - Viren Viren.JPG,5.53,17625.0,22.031249999999993,0,LOW,High,True
IMG_8826 - Viren Viren.JPG,1.59,0.0,0.0,100,CRITICAL,Immediate,True
IMG_8829 - Viren Viren.JPG,5.19,26875.0,33.59374999999999,20,LOW,High,True
IMG_8832 - Viren Viren.JPG,7.47,35333.0,44.166666666666664,0,LOW,Medium,False
IMG_8835[1] - Viren Viren.JPG,4.55,8219.0,10.273437499999996,50,MODERATE,Immediate,True
IMG_8838 - Viren Viren.JPG,4.96,20208.0,25.260416666666664,20,LOW,High,True
IMG_8841 - Viren Viren.JPG,6.86,39250.0,49.062499999999986,20,LOW,Medium,False
IMG_8844[1] - Viren Viren.JPG,5.82,23312.0,29.140624999999993,0,LOW,High,True
IMG_8847 - Viren Viren.JPG,6.86,39125.0,48.90624999999999,20,LOW,Medium,False
IMG_8850 - Viren Viren.JPG,4.7,16969.0,21.21093749999999,50,MODERATE,High,True
IMG_8853 - Viren Viren.JPG,6.54,39417.0,49.27083333333332,20,LOW,Medium,False
IMG_8856 - Viren Viren.JPG,8.53,56542.0,70.67708333333333,0,LOW,Low,False
IMG_8859[1] - Viren Viren.JPG,4.96,20125.0,25.156249999999993,20,LOW,High,True
IMG_8862 - Viren Viren.JPG,5.06,22292.0,27.864583333333332,20,LOW,High,True
IMG_8865 - Viren Viren.JPG,8.56,57167.0,71.45833333333334,0,LOW,Low,False
IMG_8868 - Viren Viren.JPG,6.84,38708.0,48.38541666666666,20,LOW,Medium,False
IMG_8871 - Viren Viren.JPG,9.28,71625.0,89.53124999999997,0,LOW,Low,False
IMG_8874 - Viren Viren.JPG,8.83,70583.0,88.22916666666666,0,LOW,Low,False
IMG_8877 - Viren Viren.JPG,8.65,75000.0,93.75,20,LOW,Low,False
IMG_8880 - Viren Viren.JPG,8.11,56187.0,70.23437499999999,0,LOW,Low,False
IMG_8884 - Viren Viren.JPG,8.67,67469.0,84.33593749999999,0,LOW,Low,False
IMG_8887 - Viren Viren.JPG,8.3,68062.0,85.078125,20,LOW,Low,False
IMG_8890 - Viren Viren.JPG,8.46,71281.0,89.10156250000001,20,LOW,Low,False
IMG_8893 - Viren Viren.JPG,9.22,70344.0,87.92968749999999,0,LOW,Low,False
IMG_8896 - Viren Viren.JPG,8.64,66812.0,83.515625,0,LOW,Low,False
IMG_8899 - Viren Viren.JPG,9.2,70031.0,87.53906250000001,0,LOW,Low,False
IMG_8903 - Viren Viren.JPG,9.16,69156.0,86.44531249999999,0,LOW,Low,False
IMG_8906 - Viren Viren.JPG,8.11,64250.0,80.31250000000001,20,LOW,Low,False
IMG_8909 - Viren Viren.JPG,9.24,70781.0,88.47656249999999,0,LOW,Low,False
IMG_8912 - Viren Viren.JPG,8.25,67031.0,83.78906250000001,20,LOW,Low,False
IMG_8916 - Viren Viren.JPG,9.02,66312.0,82.890625,0,LOW,Low,False
IMG_8919 - Viren Viren.JPG,9.21,70125.0,87.65624999999999,0,LOW,Low,False
IMG_8781 - Viren Viren.JPG,8.87,63458.0,79.32291666666666,0,LOW,Low,False
IMG_8784 - Viren Viren.JPG,9.6,77958.0,97.44791666666666,0,LOW,Low,False
