image_id,tread_1,tread_2,tread_3,tread_4,tread_average,brand,tire_size,condition,manufacture_year,tread_depth_class
IMG_19022620 - Viren Viren.jpg,2.25,2.48,2.33,2.3533333333333335,2.3533333333333335,Apollo,165/70 R14,moderate,2019.0,Replace Soon
IMG_19022621 - Viren Viren.jpg,2.96,2.97,3.0,2.99,2.98,Apollo,255/60 R16,moderate,2024.0,Replace Soon
IMG_19022622 - Viren Viren.jpg,3.01,3.14,3.21,3.14,3.125,Apollo,255/60 R18,moderate,2024.0,Replace Soon
IMG_19022623 - Viren Viren.jpg,3.1,3.26,3.28,2.92,3.1399999999999997,Apollo,255/60 R18,moderate,2024.0,Replace Soon
IMG_19022624 - Viren Viren.jpg,3.01,2.98,3.05,3.11,3.0374999999999996,Apollo,255/60 R18,moderate,2024.0,Replace Soon
IMG_19022625 - Viren Viren.jpg,2.27,2.35,2.33,2.316666666666667,2.316666666666667,Bridgestone,165/80 R14,moderate,2029.0,Replace Soon
IMG_19022626 - Viren Viren.jpg,2.33,2.36,2.4,2.3633333333333333,2.3633333333333333,Bridgestone,165/80 R14,moderate,2029.0,Replace Soon
IMG_19022627 - Viren Viren.jpg,2.47,2.38,2.34,2.3966666666666665,2.3966666666666665,Bridgestone,165/80 R14,moderate,2029.0,Replace Soon
IMG_19022628 - Viren Viren.jpg,2.07,2.57,2.5,2.38,2.38,Bridgestone,165/80 R14,moderate,2029.0,Replace Soon
IMG_19022629 - Viren Viren.jpg,1.53,1.41,1.69,1.5433333333333332,1.5433333333333332,MRF,165/70 R14,replace,2023.0,Dangerous
IMG_19022630 - Viren Viren.jpg,1.29,1.52,1.5,1.4366666666666668,1.4366666666666668,MRF,165/70 R14,replace,2023.0,Dangerous
IMG_19022631 - Viren Viren.jpg,1.66,1.82,1.88,1.7866666666666664,1.7866666666666664,MRF,165/70 R14,moderate,2023.0,Dangerous
IMG_19022632 - Viren Viren.jpg,2.55,2.53,2.6,2.56,2.56,MRF,165/70 R14,moderate,2023.0,Replace Soon
IMG_19022633 - Viren Viren.jpg,0.64,0.95,1.01,0.8666666666666666,0.8666666666666666,Yokohama,175/60 R15,replace,2022.0,Dangerous
IMG_19022634 - Viren Viren.jpg,1.06,1.64,1.71,1.47,1.47,Yokohama,175/60 R15,replace,2022.0,Dangerous
IMG_19022635 - Viren Viren.jpg,1.21,1.35,1.47,1.3433333333333335,1.3433333333333335,Yokohama,175/60 R15,replace,2022.0,Dangerous
IMG_19022636 - Viren Viren.jpg,1.71,1.76,1.74,1.7366666666666666,1.7366666666666666,Yokohama,175/60 R15,moderate,2022.0,Dangerous
IMG_19022637 - Viren Viren.jpg,3.14,3.14,3.06,3.1133333333333333,3.1133333333333333,CEAT,145/80 R12,moderate,2025.0,Replace Soon
IMG_19022638 - Viren Viren.jpg,3.33,3.16,3.18,3.223333333333333,3.223333333333333,CEAT,145/80 R12,moderate,2025.0,Replace Soon
IMG_19022639 - Viren Viren.jpg,3.43,3.38,3.34,3.3833333333333333,3.3833333333333333,CEAT,145/80 R12,moderate,2025.0,Replace Soon
IMG_19022640 - Viren Viren.jpg,3.47,3.54,3.4,3.47,3.47,CEAT,145/80 R12,moderate,2025.0,Replace Soon
IMG_19022641 - Viren Viren.jpg,3.1,3.59,3.54,3.31,3.3850000000000002,Michelin,205/55 ZR16,moderate,2024.0,Replace Soon
IMG_19022642 - Viren Viren.jpg,3.1,3.39,3.41,2.94,3.21,Michelin,205/55 ZR16,moderate,2024.0,Replace Soon
IMG_19022643 - Viren Viren.jpg,3.7,3.44,3.37,3.07,3.3950000000000005,Michelin,205/55 ZR16,moderate,2024.0,Replace Soon
IMG_19022644 - Viren Viren.jpg,3.2,3.19,3.22,2.97,3.1450000000000005,CEAT,205/55 R16,moderate,2022.0,Replace Soon
IMG_19022645 - Viren Viren.jpg,2.96,3.16,3.01,3.07,3.05,CEAT,205/55 R16,moderate,2022.0,Replace Soon
IMG_19022646 - Viren Viren.jpg,2.53,2.71,2.67,2.52,2.6075,CEAT,205/55 R16,moderate,2022.0,Replace Soon
IMG_19022647 - Viren Viren.jpg,2.5,2.74,2.83,2.64,2.6775,CEAT,205/55 R16,moderate,2022.0,Replace Soon
IMG_7342[1] - Viren Viren.JPG,2.11,1.9,2.08,2.22,2.0775,Goodyear,195/60 R16,moderate,2024.0,Replace Soon
IMG_7345 - Ubaid Elahi Baba.jpeg,2.18,1.98,1.33,2.32,1.9525000000000001,Goodyear,195/60 R16,moderate,2024.0,Dangerous
IMG_7348 - Ubaid Elahi Baba.jpeg,2.33,2.1,2.34,2.55,2.33,Goodyear,195/60 R16,moderate,2024.0,Replace Soon
IMG_7351 - Ubaid Elahi Baba.jpeg,2.78,2.4,2.76,2.75,2.6725,Goodyear,195/60 R16,moderate,2024.0,Replace Soon
IMG_7354 - Ubaid Elahi Baba.jpeg,2.72,3.68,3.74,3.51,3.4125,JK Tyre,205/60 R17,moderate,2025.0,Replace Soon
IMG_7357 - Ubaid Elahi Baba.jpeg,3.53,3.67,3.75,3.46,3.6025,JK Tyre,205/60 R17,moderate,2025.0,Replace Soon
IMG_7361 - Ubaid Elahi Baba.jpeg,3.33,3.39,3.47,3.31,3.3750000000000004,JK Tyre,205/60 R17,moderate,2025.0,Replace Soon
IMG_7364 - Ubaid Elahi Baba.jpeg,3.35,3.46,3.54,3.16,3.3775000000000004,JK Tyre,205/60 R17,moderate,2025.0,Replace Soon
IMG_7367 - Ubaid Elahi Baba.jpeg,1.94,2.04,2.32,2.1,2.1,Bridgestone,165/70 R15,moderate,2022.0,Replace Soon
IMG_7370 - Ubaid Elahi Baba.jpeg,1.99,2.31,2.21,2.17,2.17,MRF,165/70 R14,moderate,2015.0,Replace Soon
IMG_7373 - Ubaid Elahi Baba.jpeg,1.46,1.42,1.34,1.4066666666666665,1.4066666666666665,Bridgestone,165/70 R14,replace,2022.0,Dangerous
IMG_7376 - Ubaid Elahi Baba.jpeg,1.74,2.87,2.79,2.466666666666667,2.466666666666667,Bridgestone,165/70 R14,moderate,2022.0,Replace Soon
IMG_7380 - Ubaid Elahi Baba.jpeg,2.06,2.13,2.1,2.0966666666666662,2.0966666666666662,Apollo,165/70 R14,moderate,2024.0,Replace Soon
IMG_7384 - Ubaid Elahi Baba.jpeg,1.99,2.11,2.3,2.1333333333333333,2.1333333333333333,Apollo,165/70 R14,moderate,2024.0,Replace Soon
IMG_7387 - Ubaid Elahi Baba.jpeg,3.57,3.7,3.69,3.653333333333333,3.653333333333333,Apollo,165/70 R14,moderate,2024.0,Replace Soon
IMG_7390 - Ubaid Elahi Baba.jpeg,3.58,3.65,3.66,3.6300000000000003,3.6300000000000003,Apollo,165/70 R14,moderate,2024.0,Replace Soon
IMG_7394 - Ubaid Elahi Baba.jpeg,1.72,1.89,1.86,1.8233333333333333,1.8233333333333333,Bridgestone,185/65 R15,moderate,2025.0,Dangerous
IMG_7398 - Ubaid Elahi Baba.jpeg,1.94,2.28,1.89,2.0366666666666666,2.0366666666666666,Bridgestone,185/65 R15,moderate,2025.0,Replace Soon
IMG_7401 - Ubaid Elahi Baba.jpeg,2.52,2.78,2.61,2.6366666666666667,2.6366666666666667,Bridgestone,185/65 R15,moderate,2025.0,Replace Soon
IMG_7405 - Ubaid Elahi Baba.jpeg,2.31,2.59,2.4,2.4333333333333336,2.4333333333333336,Bridgestone,185/65 R15,moderate,2025.0,Replace Soon
IMG_7408 - Ubaid Elahi Baba.jpeg,0.61,0.91,1.04,0.8533333333333334,0.8533333333333334,JK Tyre,165/80 R14,replace,2022.0,Dangerous
IMG_7411 - Ubaid Elahi Baba.jpeg,0.82,0.86,0.91,0.8633333333333333,0.8633333333333333,JK Tyre,165/80 R14,replace,2022.0,Dangerous
IMG_7415 - Ubaid Elahi Baba.jpeg,0.09,0.33,0.81,0.41,0.41,Bridgestone,165/80 R14,replace,2019.0,Dangerous
IMG_7418 - Ubaid Elahi Baba.jpeg,0.75,0.14,1.13,0.6733333333333333,0.6733333333333333,Bridgestone,165/80 R14,replace,,Dangerous
IMG_7421 - Ubaid Elahi Baba.jpeg,1.82,2.07,1.89,1.9266666666666665,1.9266666666666665,Bridgestone,185/65 R15,moderate,2024.0,Dangerous
IMG_7424 - Ubaid Elahi Baba.jpeg,1.86,2.24,2.26,2.12,2.12,Bridgestone,185/65 R15,moderate,2024.0,Replace Soon
IMG_7427 - Ubaid Elahi Baba.jpeg,1.61,1.79,1.39,1.5966666666666667,1.5966666666666667,Bridgestone,185/65 R15,replace,2024.0,Dangerous
IMG_7430 - Ubaid Elahi Baba.jpeg,1.78,2.01,1.45,1.7466666666666668,1.7466666666666668,Bridgestone,185/65 R15,moderate,2024.0,Dangerous
IMG_7433 - Ubaid Elahi Baba.jpeg,2.17,2.31,2.31,2.2633333333333336,2.2633333333333336,Apollo,145/80 R12,moderate,2015.0,Replace Soon
IMG_7436 - Ubaid Elahi Baba.jpeg,1.71,1.47,1.58,1.5866666666666667,1.5866666666666667,Apollo,145/80 R12,replace,2015.0,Dangerous
IMG_7439 - Ubaid Elahi Baba.jpeg,2.05,1.92,1.64,1.8699999999999999,1.8699999999999999,Apollo,145/80 R12,moderate,2015.0,Dangerous
IMG_7442 - Ubaid Elahi Baba.jpeg,0.93,0.54,0.58,0.6833333333333335,0.6833333333333335,Apollo,145/80 R12,replace,2015.0,Dangerous
IMG_7445 - Ubaid Elahi Baba.jpeg,0.93,0.54,0.58,0.6833333333333335,0.6833333333333335,Firestone,145/80 R12,replace,2022.0,Dangerous
IMG_7448 - Ubaid Elahi Baba.jpeg,1.31,0.75,0.64,0.9,0.9,Firestone,145/80 R12,replace,2024.0,Dangerous
IMG_7451 - Ubaid Elahi Baba.jpeg,1.43,1.75,1.86,1.68,1.68,Apollo,145/80 R12,moderate,2024.0,Dangerous
IMG_7454 - Ubaid Elahi Baba.jpeg,2.31,2.37,1.66,2.1133333333333333,2.1133333333333333,Goodyear,145/80 R12,moderate,2024.0,Replace Soon
IMG_7457 - Ubaid Elahi Baba.jpeg,2.33,3.34,3.41,3.026666666666667,3.026666666666667,Bridgestone,155/65 R14,moderate,2023.0,Replace Soon
IMG_7460 - Ubaid Elahi Baba.jpeg,1.48,1.79,1.73,1.6666666666666667,1.6666666666666667,Bridgestone,155/65 R14,moderate,2023.0,Dangerous
IMG_7463 - Ubaid Elahi Baba.jpeg,1.66,2.14,2.0,1.9333333333333333,1.9333333333333333,MRF,155/65 R14,moderate,2025.0,Dangerous
IMG_7463[1] - Viren Viren.JPG,3.7,3.72,3.45,3.6233333333333335,3.6233333333333335,MRF,155/65 R14,moderate,2025.0,Replace Soon
IMG_7469[2] - Viren Viren.JPG,3.21,3.39,3.43,3.41,3.36,Yokohama,215/60 R17,moderate,2025.0,Replace Soon
IMG_7472[1] - Viren Viren.JPG,3.31,3.6,3.68,3.61,3.55,Yokohama,215/60 R17,moderate,2025.0,Replace Soon
IMG_7475[1] - Viren Viren.JPG,2.43,2.45,2.61,2.35,2.46,Yokohama,215/60 R17,moderate,2025.0,Replace Soon
IMG_7478[1] - Viren Viren.JPG,2.38,2.56,2.74,2.74,2.605,Yokohama,215/60 R17,moderate,2025.0,Replace Soon
IMG_7481[1] - Viren Viren.JPG,0.49,0.83,0.88,0.7333333333333333,0.7333333333333333,Apollo,165/80 R14,replace,2022.0,Dangerous
IMG_7484[1] - Viren Viren.JPG,0.77,0.96,0.84,0.8566666666666666,0.8566666666666666,Apollo,165/80 R14,replace,2019.0,Dangerous
IMG_7487[2] - Viren Viren.JPG,0.52,0.4,0.65,0.5233333333333333,0.5233333333333333,Apollo,165/80 R14,replace,2022.0,Dangerous
IMG_7490[1] - Viren Viren.JPG,0.34,0.27,0.36,0.32333333333333336,0.32333333333333336,Apollo,165/80 R14,replace,2022.0,Dangerous
IMG_7493[1] - Viren Viren.JPG,1.28,1.79,1.53,1.5333333333333334,1.5333333333333334,Bridgestone,165/65 R14,replace,2022.0,Dangerous
IMG_7496[1] - Viren Viren.JPG,1.6,1.81,1.55,1.6533333333333333,1.6533333333333333,Bridgestone,175/65 R14,moderate,2020.0,Dangerous
IMG_7499[2] - Viren Viren.JPG,0.81,0.77,1.01,0.8633333333333333,0.8633333333333333,Bridgestone,175/65 R14,replace,2028.0,Dangerous
IMG_7502[1] - Viren Viren.JPG,0.22,0.39,0.24,0.2833333333333333,0.2833333333333333,Bridgestone,175/65 R14,replace,2023.0,Dangerous
IMG_7509[1] - Viren Viren.JPG,3.04,2.89,3.33,3.0866666666666664,3.0866666666666664,Bridgestone,175/65 R14,moderate,2023.0,Replace Soon
IMG_7512[1] - 25cp08 tyre.JPG,3.01,2.81,3.28,3.033333333333333,3.033333333333333,MRF,165/80 R14,moderate,2024.0,Replace Soon
IMG_7515[1] - Viren Viren.JPG,3.57,3.49,3.46,3.5066666666666664,3.5066666666666664,MRF,165/80 R14,moderate,2024.0,Replace Soon
IMG_7518[1] - 25cp08 tyre.JPG,2.01,1.83,1.75,1.8633333333333333,1.8633333333333333,Apollo,165/80 R14,moderate,2017.0,Dangerous
IMG_7524 - Ubaid Elahi Baba.jpeg,2.95,2.68,2.76,2.796666666666667,2.796666666666667,JK Tyre,145/80 R13,moderate,2023.0,Replace Soon
IMG_7527 - Ubaid Elahi Baba.jpeg,2.99,2.95,2.83,2.9233333333333333,2.9233333333333333,JK Tyre,145/80 R13,moderate,2023.0,Replace Soon
IMG_7530 - Ubaid Elahi Baba.jpeg,2.21,2.29,2.11,2.203333333333333,2.203333333333333,JK Tyre,145/80 R13,moderate,2023.0,Replace Soon
IMG_7533 - Ubaid Elahi Baba.jpeg,2.03,2.37,1.76,2.0533333333333332,2.0533333333333332,JK Tyre,155/80 R13,moderate,2022.0,Replace Soon
IMG_7536 - Ubaid Elahi Baba.jpeg,3.03,3.33,3.17,3.1766666666666663,3.1766666666666663,JK Tyre,155/80 R13,moderate,2022.0,Replace Soon
IMG_7539 - Ubaid Elahi Baba.jpeg,2.91,3.11,3.15,3.0566666666666666,3.0566666666666666,JK Tyre,155/80 R13,moderate,2022.0,Replace Soon
IMG_7542 - Ubaid Elahi Baba.jpeg,1.46,1.95,2.12,1.8433333333333335,1.8433333333333335,JK Tyre,155/80 R13,moderate,2022.0,Dangerous
IMG_7546 - Ubaid Elahi Baba.jpeg,1.33,1.72,2.17,1.74,1.74,MRF,165/80 R14,moderate,2019.0,Dangerous
IMG_7549 - Ubaid Elahi Baba.jpeg,1.33,1.71,1.57,1.5366666666666668,1.5366666666666668,MRF,165/80 R14,replace,2019.0,Dangerous
IMG_7552 - Ubaid Elahi Baba.jpeg,1.64,1.75,1.79,1.7266666666666666,1.7266666666666666,MRF,165/80 R14,moderate,2019.0,Dangerous
IMG_7555 - Ubaid Elahi Baba.jpeg,2.75,2.72,2.58,2.6833333333333336,2.6833333333333336,MRF,165/80 R14,moderate,2019.0,Replace Soon
IMG_7558 - Ubaid Elahi Baba.jpeg,1.18,1.3,1.29,1.2566666666666666,1.2566666666666666,Goodyear,195/55 R16,replace,2021.0,Dangerous
IMG_7561 - Ubaid Elahi Baba.jpeg,2.72,3.14,2.17,2.676666666666667,2.676666666666667,Goodyear,195/55 R16,moderate,2021.0,Replace Soon
IMG_7561[1] - Viren Viren.JPG,3.11,2.83,2.77,2.49,2.8,Goodyear,195/55 R16,moderate,2021.0,Replace Soon
IMG_7564[1] - Viren Viren.JPG,2.45,2.42,2.0,1.7,2.1425,Goodyear,195/55 R16,moderate,2021.0,Replace Soon
IMG_7567[1] - Viren Viren.JPG,1.89,2.24,2.19,1.77,2.0225,Goodyear,195/55 R16,moderate,2021.0,Replace Soon
IMG_7570[1] - Viren Viren.JPG,3.84,4.08,3.95,3.956666666666667,3.956666666666667,Apollo,165/70 R14,moderate,2025.0,Replace Soon
IMG_7573[1] - Viren Viren.JPG,3.84,4.05,3.19,3.6933333333333334,3.6933333333333334,Apollo,165/70 R14,moderate,2025.0,Replace Soon
IMG_7576[1] - Viren Viren.JPG,3.83,4.04,3.79,3.8866666666666667,3.8866666666666667,Apollo,165/70 R14,moderate,2025.0,Replace Soon
IMG_7579[1] - Viren Viren.JPG,3.91,4.0,3.95,3.953333333333333,3.953333333333333,Apollo,165/70 R14,moderate,2025.0,Replace Soon
IMG_7582[1] - Viren Viren.JPG,1.55,1.82,1.9,1.7,1.7425,Apollo,195/55 R16,moderate,2022.0,Dangerous
IMG_7585[1] - Viren Viren.JPG,1.41,1.82,1.95,1.67,1.7125,Apollo,195/55 R16,moderate,2022.0,Dangerous
IMG_7588[1] - Viren Viren.JPG,0.94,1.08,1.14,0.77,0.9825,Apollo,195/55 R16,replace,2022.0,Dangerous
IMG_7591[1] - Viren Viren.JPG,1.14,1.24,1.3,0.91,1.1475,Apollo,195/55 R16,replace,2022.0,Dangerous
IMG_7594[1] - Viren Viren.JPG,3.46,3.57,3.7,3.43,3.54,JK Tyre,215/55 R18,moderate,2025.0,Replace Soon
IMG_7597[1] - Viren Viren.JPG,3.46,3.8,3.6,3.68,3.635,JK Tyre,215/55 R18,moderate,2025.0,Replace Soon
IMG_7600[1] - Viren Viren.JPG,3.58,3.54,3.41,3.66,3.5475000000000003,JK Tyre,215/55 R18,moderate,2025.0,Replace Soon
IMG_7603[1] - Viren Viren.JPG,2.16,3.53,3.43,3.48,3.15,JK Tyre,215/55 R18,moderate,2025.0,Replace Soon
IMG_7879[1] - Viren Viren.JPG,1.15,2.1,1.33,1.5266666666666666,1.5266666666666666,Apollo,165/65 R14,replace,2018.0,Dangerous
IMG_7882[1] - Viren Viren.JPG,1.1,2.1,1.4,1.5333333333333332,1.5333333333333332,Apollo,165/65 R14,replace,2018.0,Dangerous
IMG_7885[1] - Viren Viren.JPG,1.22,2.22,1.41,1.616666666666667,1.616666666666667,Apollo,165/65 R14,moderate,2018.0,Dangerous
IMG_7888[1] - Viren Viren.JPG,1.71,2.42,2.05,2.06,2.06,Apollo,165/65 R14,moderate,2018.0,Replace Soon
IMG_7891[1] - Viren Viren.JPG,2.95,3.17,2.18,2.72,2.7550000000000003,Goodyear,215/60 R16,moderate,2023.0,Replace Soon
IMG_7897[1] - Viren Viren.JPG,2.22,2.45,2.52,1.88,2.2675,Goodyear,215/60 R16,moderate,2023.0,Replace Soon
IMG_7900[1] - Viren Viren.JPG,2.08,2.4,2.33,2.05,2.215,Goodyear,215/60 R16,moderate,2023.0,Replace Soon
IMG_7903[1] - Viren Viren.JPG,1.26,1.24,1.25,1.25,1.25,MRF,185/65 R14,replace,2017.0,Dangerous
IMG_7906[1] - Viren Viren.JPG,1.14,1.35,1.245,1.245,1.245,MRF,185/65 R14,replace,2017.0,Dangerous
IMG_7909[1] - Viren Viren.JPG,0.99,1.11,1.05,1.05,1.05,MRF,185/65 R14,replace,2017.0,Dangerous
IMG_7912[1] - Viren Viren.JPG,1.59,1.69,1.6400000000000001,1.64,1.64,MRF,185/65 R14,moderate,2017.0,Dangerous
IMG_7915[1] - Viren Viren.JPG,1.58,1.72,1.36,1.5533333333333335,1.5533333333333335,Bridgestone,155/65 R14,replace,2017.0,Dangerous
IMG_7918[1] - Viren Viren.JPG,1.76,2.09,2.0,1.95,1.95,Apollo,155/65 R14,moderate,2013.0,Dangerous
IMG_7921[1] - Viren Viren.JPG,1.63,1.51,1.63,1.5899999999999999,1.5899999999999999,Bridgestone,155/65 R14,replace,,Dangerous
IMG_7924[1] - Viren Viren.JPG,1.79,1.91,1.78,1.8266666666666669,1.8266666666666669,Bridgestone,155/65 R14,moderate,,Dangerous
IMG_7927[1] - Viren Viren.JPG,2.93,2.95,2.39,2.7566666666666673,2.7566666666666673,Bridgestone,175/65 R15,moderate,2024.0,Replace Soon
IMG_7930[1] - Viren Viren.JPG,3.2,3.41,2.91,3.1733333333333333,3.1733333333333333,Bridgestone,175/65 R15,moderate,2024.0,Replace Soon
IMG_7933[1] - Viren Viren.JPG,1.96,2.28,1.9,2.046666666666667,2.046666666666667,Bridgestone,175/65 R15,moderate,2024.0,Replace Soon
IMG_7936[1] - Viren Viren.JPG,2.75,2.95,2.7,2.8000000000000003,2.8000000000000003,Bridgestone,175/65 R15,moderate,2022.0,Replace Soon
IMG_7939[1] - Viren Viren.JPG,2.36,2.95,2.31,2.5400000000000005,2.5400000000000005,Bridgestone,165/80 R14,moderate,2023.0,Replace Soon
IMG_7942[1] - Viren Viren.JPG,2.33,2.34,2.5,2.39,2.39,Bridgestone,165/80 R14,moderate,2023.0,Replace Soon
IMG_7945[1] - Viren Viren.JPG,2.33,2.41,2.34,2.36,2.36,Bridgestone,165/80 R14,moderate,2023.0,Replace Soon
IMG_7948[1] - Viren Viren.JPG,2.53,2.59,2.43,2.516666666666666,2.516666666666666,Bridgestone,165/80 R14,moderate,2023.0,Replace Soon
IMG_7951[1] - Viren Viren.JPG,1.1,1.46,1.38,1.3133333333333332,1.3133333333333332,Apollo,155/70 R13,replace,2018.0,Dangerous
IMG_7954[1] - Viren Viren.JPG,1.02,1.31,1.0,1.11,1.11,Apollo,155/70 R13,replace,2018.0,Dangerous
IMG_7957[1] - Viren Viren.JPG,2.59,2.72,2.39,2.566666666666667,2.566666666666667,Apollo,155/70 R13,moderate,2023.0,Replace Soon
IMG_7960[1] - Viren Viren.JPG,2.45,3.34,2.2,2.6633333333333336,2.6633333333333336,Apollo,155/70 R13,moderate,2023.0,Replace Soon
IMG_8169[1] - Viren Viren.JPG,3.34,3.48,3.48,3.48,3.4450000000000003,MRF,215/60 R16,moderate,2024.0,Replace Soon
IMG_8172[1] - Viren Viren.JPG,3.36,3.64,3.51,3.33,3.46,MRF,215/60 R16,moderate,2024.0,Replace Soon
IMG_8175[1] - Viren Viren.JPG,3.51,3.5,3.61,3.41,3.5075,MRF,215/60 R16,moderate,2024.0,Replace Soon
IMG_8178[1] - Viren Viren.JPG,1.92,2.34,2.43,1.83,2.13,Apollo,215/60 R17,moderate,2023.0,Replace Soon
IMG_8181[1] - Viren Viren.JPG,2.44,2.91,2.67,2.32,2.585,Apollo,215/60 R17,moderate,2023.0,Replace Soon
IMG_8187[1] - Viren Viren.JPG,2.46,2.98,2.93,2.24,2.6525,Apollo,215/60 R17,moderate,2023.0,Replace Soon
IMG_8197[1] - Viren Viren.JPG,1.33,0.95,1.09,1.1233333333333333,1.1233333333333333,Goodyear,155/80 R13,replace,,Dangerous
IMG_8200[1] - Viren Viren.JPG,1.89,2.24,2.18,2.21,2.13,Toyo,155/80 R13,moderate,,Replace Soon
IMG_8203[1] - Viren Viren.JPG,3.1,2.74,2.89,2.91,2.91,Kelly,155/80 R13,moderate,2025.0,Replace Soon
IMG_8207[1] - Viren Viren.JPG,1.68,1.69,1.52,1.6300000000000001,1.6300000000000001,Apollo,145/80 R12,moderate,,Dangerous
IMG_8210[1] - Viren Viren.JPG,2.63,2.32,1.98,2.18,2.2775,Dunlop,145/80 R12,moderate,2011.0,Replace Soon
IMG_8214[1] - Viren Viren.JPG,1.01,1.09,1.2,1.0999999999999999,1.0999999999999999,Apollo,145/80 R12,replace,2011.0,Dangerous
IMG_8217[1] - Viren Viren.JPG,3.09,3.07,3.1,3.45,3.1775,Dunlop,145/80 R12,moderate,2011.0,Replace Soon
IMG_8221[1] - Viren Viren.JPG,2.96,3.17,3.29,2.8,3.0549999999999997,Apollo,185/65 R15,moderate,2024.0,Replace Soon
IMG_8224[1] - Viren Viren.JPG,2.59,2.81,2.99,2.99,2.845,Apollo,185/65 R15,moderate,2024.0,Replace Soon
IMG_8227[1] - Viren Viren.JPG,2.79,3.05,2.85,2.61,2.8249999999999997,Apollo,185/65 R15,moderate,2024.0,Replace Soon
IMG_8231[1] - Viren Viren.JPG,2.79,3.16,3.28,2.77,3.0,Apollo,185/65 R15,moderate,2024.0,Replace Soon
IMG_8234[1] - Viren Viren.JPG,2.38,2.27,2.38,2.52,2.3875,Goodyear,215/60 R16,moderate,2073.0,Replace Soon
IMG_8237[1] - Viren Viren.JPG,2.22,2.54,2.5,2.15,2.3525,Goodyear,215/60 R16,moderate,2023.0,Replace Soon
IMG_8240[1] - Viren Viren.JPG,2.74,2.81,2.64,1.81,2.5000000000000004,Goodyear,215/60 R16,moderate,2023.0,Replace Soon
IMG_8243[1] - Viren Viren.JPG,2.54,2.41,2.45,2.52,2.48,Goodyear,215/60 R16,moderate,2073.0,Replace Soon
IMG_8246[1] - Viren Viren.JPG,1.85,1.63,1.59,1.74,1.7025000000000001,MRF,185/70 R14,moderate,2024.0,Dangerous
IMG_8250[1] - Viren Viren.JPG,1.68,1.35,1.38,1.51,1.48,MRF,185/70 R14,replace,2024.0,Dangerous
IMG_8253[1] - Viren Viren.JPG,1.52,1.56,1.3,1.27,1.4125,MRF,185/70 R14,replace,2024.0,Dangerous
IMG_8277[1] - Viren Viren.JPG,3.31,3.33,3.13,3.2566666666666664,3.2566666666666664,MRF,185/65 R15,moderate,,Replace Soon
