image_id,wear_pattern,class_id,condition,severity,cause,corrective_action
IMG_19022635 - Viren Viren.jpg,critical_wear,5,replace,high,Tread below safe threshold,Replace or inspect immediately
IMG_19022636 - Viren Viren.jpg,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_19022637 - Viren Viren.jpg,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_19022638 - Viren Viren.jpg,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_19022639 - Viren Viren.jpg,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_19022640 - Viren Viren.jpg,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_19022641 - Viren Viren.jpg,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_19022642 - Viren Viren.jpg,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_19022643 - Viren Viren.jpg,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_19022644 - Viren Viren.jpg,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_19022645 - Viren Viren.jpg,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_19022646 - Viren Viren.jpg,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_19022647 - Viren Viren.jpg,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_7342[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_7345 - Ubaid Elahi Baba.jpeg,edge_wear,1,moderate,moderate,Possible underinflation,Inspect pressure and alignment
IMG_7348 - Ubaid Elahi Baba.jpeg,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_7351 - Ubaid Elahi Baba.jpeg,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_7354 - Ubaid Elahi Baba.jpeg,center_wear,0,moderate,moderate,Possible overinflation,Inspect pressure and alignment
IMG_7357 - Ubaid Elahi Baba.jpeg,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_7361 - Ubaid Elahi Baba.jpeg,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_7364 - Ubaid Elahi Baba.jpeg,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_7367 - Ubaid Elahi Baba.jpeg,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_7370 - Ubaid Elahi Baba.jpeg,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_7373 - Ubaid Elahi Baba.jpeg,critical_wear,5,replace,high,Tread below safe threshold,Replace or inspect immediately
IMG_7376 - Ubaid Elahi Baba.jpeg,center_wear,0,moderate,moderate,Possible overinflation,Inspect pressure and alignment
IMG_7380 - Ubaid Elahi Baba.jpeg,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_7384 - Ubaid Elahi Baba.jpeg,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_7387 - Ubaid Elahi Baba.jpeg,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_7390 - Ubaid Elahi Baba.jpeg,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_7394 - Ubaid Elahi Baba.jpeg,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_7398 - Ubaid Elahi Baba.jpeg,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_7401 - Ubaid Elahi Baba.jpeg,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_7405 - Ubaid Elahi Baba.jpeg,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_7408 - Ubaid Elahi Baba.jpeg,critical_wear,5,replace,high,Tread below safe threshold,Replace or inspect immediately
IMG_7411 - Ubaid Elahi Baba.jpeg,critical_wear,5,replace,high,Tread below safe threshold,Replace or inspect immediately
IMG_7415 - Ubaid Elahi Baba.jpeg,critical_wear,5,replace,high,Tread below safe threshold,Replace or inspect immediately
IMG_7418 - Ubaid Elahi Baba.jpeg,critical_wear,5,replace,high,Tread below safe threshold,Replace or inspect immediately
IMG_7421 - Ubaid Elahi Baba.jpeg,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_7424 - Ubaid Elahi Baba.jpeg,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_7427 - Ubaid Elahi Baba.jpeg,critical_wear,5,replace,high,Tread below safe threshold,Replace or inspect immediately
IMG_7430 - Ubaid Elahi Baba.jpeg,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_7433 - Ubaid Elahi Baba.jpeg,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_7436 - Ubaid Elahi Baba.jpeg,critical_wear,5,replace,high,Tread below safe threshold,Replace or inspect immediately
IMG_7439 - Ubaid Elahi Baba.jpeg,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_7442 - Ubaid Elahi Baba.jpeg,critical_wear,5,replace,high,Tread below safe threshold,Replace or inspect immediately
IMG_7445 - Ubaid Elahi Baba.jpeg,critical_wear,5,replace,high,Tread below safe threshold,Replace or inspect immediately
IMG_7448 - Ubaid Elahi Baba.jpeg,critical_wear,5,replace,high,Tread below safe threshold,Replace or inspect immediately
IMG_7451 - Ubaid Elahi Baba.jpeg,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_7454 - Ubaid Elahi Baba.jpeg,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_7457 - Ubaid Elahi Baba.jpeg,center_wear,0,moderate,moderate,Possible overinflation,Inspect pressure and alignment
IMG_7460 - Ubaid Elahi Baba.jpeg,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_7463 - Ubaid Elahi Baba.jpeg,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_7463[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_7469[2] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_7472[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_7475[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_7478[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_7481[1] - Viren Viren.JPG,critical_wear,5,replace,high,Tread below safe threshold,Replace or inspect immediately
IMG_7484[1] - Viren Viren.JPG,critical_wear,5,replace,high,Tread below safe threshold,Replace or inspect immediately
IMG_7487[2] - Viren Viren.JPG,critical_wear,5,replace,high,Tread below safe threshold,Replace or inspect immediately
IMG_7490[1] - Viren Viren.JPG,critical_wear,5,replace,high,Tread below safe threshold,Replace or inspect immediately
IMG_7493[1] - Viren Viren.JPG,critical_wear,5,replace,high,Tread below safe threshold,Replace or inspect immediately
IMG_7496[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_7499[2] - Viren Viren.JPG,critical_wear,5,replace,high,Tread below safe threshold,Replace or inspect immediately
IMG_7502[1] - Viren Viren.JPG,critical_wear,5,replace,high,Tread below safe threshold,Replace or inspect immediately
IMG_7509[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_7512[1] - 25cp08 tyre.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_7515[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_7518[1] - 25cp08 tyre.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_7524 - Ubaid Elahi Baba.jpeg,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_7527 - Ubaid Elahi Baba.jpeg,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_7530 - Ubaid Elahi Baba.jpeg,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_7533 - Ubaid Elahi Baba.jpeg,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_7536 - Ubaid Elahi Baba.jpeg,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_7539 - Ubaid Elahi Baba.jpeg,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_7542 - Ubaid Elahi Baba.jpeg,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_7546 - Ubaid Elahi Baba.jpeg,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_7549 - Ubaid Elahi Baba.jpeg,critical_wear,5,replace,high,Tread below safe threshold,Replace or inspect immediately
IMG_7552 - Ubaid Elahi Baba.jpeg,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_7555 - Ubaid Elahi Baba.jpeg,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_7558 - Ubaid Elahi Baba.jpeg,critical_wear,5,replace,high,Tread below safe threshold,Replace or inspect immediately
IMG_7561 - Ubaid Elahi Baba.jpeg,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_7561[1] - Viren Viren.JPG,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_7564[1] - Viren Viren.JPG,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_7567[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_7570[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_7573[1] - Viren Viren.JPG,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_7576[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_7579[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_7582[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_7585[1] - Viren Viren.JPG,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_7588[1] - Viren Viren.JPG,critical_wear,5,replace,high,Tread below safe threshold,Replace or inspect immediately
IMG_7591[1] - Viren Viren.JPG,critical_wear,5,replace,high,Tread below safe threshold,Replace or inspect immediately
IMG_7594[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_7597[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_7600[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_7603[1] - Viren Viren.JPG,center_wear,0,moderate,moderate,Possible overinflation,Inspect pressure and alignment
IMG_7879[1] - Viren Viren.JPG,critical_wear,5,replace,high,Tread below safe threshold,Replace or inspect immediately
IMG_7882[1] - Viren Viren.JPG,critical_wear,5,replace,high,Tread below safe threshold,Replace or inspect immediately
IMG_7885[1] - Viren Viren.JPG,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_7888[1] - Viren Viren.JPG,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_7891[1] - Viren Viren.JPG,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_7897[1] - Viren Viren.JPG,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_7900[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_7903[1] - Viren Viren.JPG,critical_wear,5,replace,high,Tread below safe threshold,Replace or inspect immediately
IMG_7906[1] - Viren Viren.JPG,critical_wear,5,replace,high,Tread below safe threshold,Replace or inspect immediately
IMG_7909[1] - Viren Viren.JPG,critical_wear,5,replace,high,Tread below safe threshold,Replace or inspect immediately
IMG_7912[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_7915[1] - Viren Viren.JPG,critical_wear,5,replace,high,Tread below safe threshold,Replace or inspect immediately
IMG_7918[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_7921[1] - Viren Viren.JPG,critical_wear,5,replace,high,Tread below safe threshold,Replace or inspect immediately
IMG_7924[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_7927[1] - Viren Viren.JPG,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_7930[1] - Viren Viren.JPG,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_7933[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_7936[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_7939[1] - Viren Viren.JPG,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_7942[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_7945[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_7948[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_7951[1] - Viren Viren.JPG,critical_wear,5,replace,high,Tread below safe threshold,Replace or inspect immediately
IMG_7954[1] - Viren Viren.JPG,critical_wear,5,replace,high,Tread below safe threshold,Replace or inspect immediately
IMG_7957[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_7960[1] - Viren Viren.JPG,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_8169[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_8172[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_8175[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_8178[1] - Viren Viren.JPG,center_wear,0,moderate,moderate,Possible overinflation,Inspect pressure and alignment
IMG_8181[1] - Viren Viren.JPG,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_8187[1] - Viren Viren.JPG,center_wear,0,moderate,moderate,Possible overinflation,Inspect pressure and alignment
IMG_8197[1] - Viren Viren.JPG,critical_wear,5,replace,high,Tread below safe threshold,Replace or inspect immediately
IMG_8200[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_8203[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_8207[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_8210[1] - Viren Viren.JPG,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_8214[1] - Viren Viren.JPG,critical_wear,5,replace,high,Tread below safe threshold,Replace or inspect immediately
IMG_8217[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_8221[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_8224[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_8227[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_8231[1] - Viren Viren.JPG,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_8234[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_8237[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_8240[1] - Viren Viren.JPG,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_8243[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_8246[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_8250[1] - Viren Viren.JPG,critical_wear,5,replace,high,Tread below safe threshold,Replace or inspect immediately
IMG_8253[1] - Viren Viren.JPG,critical_wear,5,replace,high,Tread below safe threshold,Replace or inspect immediately
IMG_8277[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_8280[1] - Viren Viren.JPG,critical_wear,5,replace,high,Tread below safe threshold,Replace or inspect immediately
IMG_8283[1] - Viren Viren.JPG,critical_wear,5,replace,high,Tread below safe threshold,Replace or inspect immediately
IMG_8286[1] - Viren Viren.JPG,critical_wear,5,replace,high,Tread below safe threshold,Replace or inspect immediately
IMG_8289[1] - Viren Viren.JPG,critical_wear,5,replace,high,Tread below safe threshold,Replace or inspect immediately
IMG_8292[1] - Viren Viren.JPG,critical_wear,5,replace,high,Tread below safe threshold,Replace or inspect immediately
IMG_8295[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_8298[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_8301[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_8304[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_8307[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_8310[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_8313[1] - Viren Viren.JPG,critical_wear,5,replace,high,Tread below safe threshold,Replace or inspect immediately
IMG_8316[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_8319[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_8322[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_8325[1] - Viren Viren.JPG,critical_wear,5,replace,high,Tread below safe threshold,Replace or inspect immediately
IMG_8328[1] - Viren Viren.JPG,critical_wear,5,replace,high,Tread below safe threshold,Replace or inspect immediately
IMG_8372[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_8375[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_8381[1] - Viren Viren.JPG,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_8384[1] - Viren Viren.JPG,center_wear,0,moderate,moderate,Possible overinflation,Inspect pressure and alignment
IMG_8387[1] - Viren Viren.JPG,center_wear,0,moderate,moderate,Possible overinflation,Inspect pressure and alignment
IMG_8394[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_8397[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_8400[1] - Viren Viren.JPG,critical_wear,5,replace,high,Tread below safe threshold,Replace or inspect immediately
IMG_8403[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_8406[1] - Viren Viren.JPG,center_wear,0,moderate,moderate,Possible overinflation,Inspect pressure and alignment
IMG_8409[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_8412[1] - Viren Viren.JPG,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_8415[1] - Viren Viren.JPG,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_8418[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_8421[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_8424[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_8427[1] - Viren Viren.JPG,critical_wear,5,replace,high,Tread below safe threshold,Replace or inspect immediately
IMG_8430[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_8433[1] - Viren Viren.JPG,center_wear,0,moderate,moderate,Possible overinflation,Inspect pressure and alignment
IMG_8436[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_8439[1] - Viren Viren.JPG,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_8442[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_8445[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_8448[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_8451[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_8454[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_8458[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_8461[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_8464[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_8467[1] - Viren Viren.JPG,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_8469[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_8472[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_8476[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_8479[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_8482[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_8485[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_8489[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_8491[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_8494[1] - Viren Viren.JPG,one_sided_wear,4,moderate,moderate,Possible alignment issue,Inspect pressure and alignment
IMG_8497[1] - Viren Viren.JPG,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_8500[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_8826 - Viren Viren.JPG,critical_wear,5,replace,high,Tread below safe threshold,Replace or inspect immediately
IMG_8829 - Viren Viren.JPG,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_8832 - Viren Viren.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_8835[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_8838 - Viren Viren.JPG,edge_wear,1,moderate,moderate,Possible underinflation,Inspect pressure and alignment
IMG_8841 - Viren Viren.JPG,uneven_wear,2,safe,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_8844[1] - Viren Viren.JPG,even,3,moderate,moderate,Normal wear,Inspect pressure and alignment
IMG_8847 - Viren Viren.JPG,uneven_wear,2,safe,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_8850 - Viren Viren.JPG,uneven_wear,2,moderate,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_8853 - Viren Viren.JPG,center_wear,0,safe,low,Possible overinflation,Continue monitoring
IMG_8856 - Viren Viren.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_8859[1] - Viren Viren.JPG,edge_wear,1,moderate,moderate,Possible underinflation,Inspect pressure and alignment
IMG_8862 - Viren Viren.JPG,edge_wear,1,moderate,moderate,Possible underinflation,Inspect pressure and alignment
IMG_8865 - Viren Viren.JPG,even,3,safe,low,Normal wear,Continue monitoring
IMG_8868 - Viren Viren.JPG,uneven_wear,2,safe,moderate,Irregular tread readings,Inspect pressure and alignment
IMG_8871 - Viren Viren.JPG,even,3,safe,low,Normal wear,Continue monitoring
