image_id,tread_depth_pred,health_score_pred,remaining_life_pred,wear_pattern_pred,risk_level,replacement_urgency
IMG_7442 - Ubaid Elahi Baba.jpeg,0.6833333333333335,1.29,0.0,critical_wear,CRITICAL,Immediate
IMG_7445 - Ubaid Elahi Baba.jpeg,0.6833333333333335,1.43,0.0,critical_wear,CRITICAL,Immediate
IMG_7448 - Ubaid Elahi Baba.jpeg,0.9,1.56,0.0,critical_wear,CRITICAL,Immediate
IMG_7451 - Ubaid Elahi Baba.jpeg,1.68,4.7,1.2499999999999976,even,MODERATE,Immediate
IMG_7454 - Ubaid Elahi Baba.jpeg,2.1133333333333333,4.17,8.02083333333333,uneven_wear,MODERATE,Immediate
IMG_7457 - Ubaid Elahi Baba.jpeg,3.026666666666667,5.14,22.291666666666668,center_wear,LOW,High
IMG_7460 - Ubaid Elahi Baba.jpeg,1.6666666666666667,4.69,1.0416666666666665,even,MODERATE,Immediate
IMG_7463 - Ubaid Elahi Baba.jpeg,1.9333333333333333,4.86,5.208333333333332,even,MODERATE,Immediate
IMG_7463[1] - Viren Viren.JPG,3.6233333333333335,5.91,31.614583333333336,even,LOW,High
IMG_7469[2] - Viren Viren.JPG,3.36,5.75,27.499999999999996,even,LOW,High
IMG_7472[1] - Viren Viren.JPG,3.55,5.87,30.468749999999993,even,LOW,High
IMG_7475[1] - Viren Viren.JPG,2.46,5.19,13.437499999999996,even,MODERATE,Immediate
IMG_7478[1] - Viren Viren.JPG,2.605,5.28,15.703124999999998,even,MODERATE,Immediate
IMG_7481[1] - Viren Viren.JPG,0.7333333333333333,1.46,0.0,critical_wear,CRITICAL,Immediate
IMG_7484[1] - Viren Viren.JPG,0.8566666666666666,1.39,0.0,critical_wear,CRITICAL,Immediate
IMG_7487[2] - Viren Viren.JPG,0.5233333333333333,1.33,0.0,critical_wear,CRITICAL,Immediate
IMG_7490[1] - Viren Viren.JPG,0.32333333333333336,1.2,0.0,critical_wear,CRITICAL,Immediate
IMG_7493[1] - Viren Viren.JPG,1.5333333333333334,1.96,0.0,critical_wear,CRITICAL,Immediate
IMG_7496[1] - Viren Viren.JPG,1.6533333333333333,4.21,0.8333333333333317,even,MODERATE,Immediate
IMG_7499[2] - Viren Viren.JPG,0.8633333333333333,1.54,0.0,critical_wear,CRITICAL,Immediate
IMG_7502[1] - Viren Viren.JPG,0.2833333333333333,1.18,0.0,critical_wear,CRITICAL,Immediate
IMG_7509[1] - Viren Viren.JPG,3.0866666666666664,5.58,23.22916666666666,even,LOW,High
IMG_7512[1] - 25cp08 tyre.JPG,3.033333333333333,5.55,22.39583333333333,even,LOW,High
IMG_7515[1] - Viren Viren.JPG,3.5066666666666664,5.84,29.79166666666666,even,LOW,High
IMG_7518[1] - 25cp08 tyre.JPG,1.8633333333333333,4.33,4.114583333333331,even,MODERATE,Immediate
IMG_7524 - Ubaid Elahi Baba.jpeg,2.796666666666667,5.4,18.697916666666668,even,MODERATE,Immediate
IMG_7527 - Ubaid Elahi Baba.jpeg,2.9233333333333333,5.48,20.677083333333332,even,MODERATE,High
IMG_7530 - Ubaid Elahi Baba.jpeg,2.203333333333333,5.03,9.427083333333329,even,MODERATE,Immediate
IMG_7533 - Ubaid Elahi Baba.jpeg,2.0533333333333332,4.13,7.08333333333333,uneven_wear,MODERATE,Immediate
IMG_7536 - Ubaid Elahi Baba.jpeg,3.1766666666666663,5.64,24.63541666666666,even,LOW,High
IMG_7539 - Ubaid Elahi Baba.jpeg,3.0566666666666666,5.56,22.760416666666664,even,LOW,High
IMG_7542 - Ubaid Elahi Baba.jpeg,1.8433333333333335,4.0,3.8020833333333344,uneven_wear,MODERATE,Immediate
IMG_7546 - Ubaid Elahi Baba.jpeg,1.74,3.55,2.1874999999999987,uneven_wear,HIGH,Immediate
IMG_7549 - Ubaid Elahi Baba.jpeg,1.5366666666666668,1.76,0.0,critical_wear,CRITICAL,Immediate
IMG_7552 - Ubaid Elahi Baba.jpeg,1.7266666666666666,4.26,1.9791666666666639,even,MODERATE,Immediate
IMG_7555 - Ubaid Elahi Baba.jpeg,2.6833333333333336,4.8,16.927083333333336,even,MODERATE,Immediate
IMG_7558 - Ubaid Elahi Baba.jpeg,1.2566666666666666,1.79,0.0,critical_wear,CRITICAL,Immediate
IMG_7561 - Ubaid Elahi Baba.jpeg,2.676666666666667,4.52,16.822916666666675,uneven_wear,MODERATE,Immediate
IMG_7561[1] - Viren Viren.JPG,2.8,4.6,18.749999999999993,uneven_wear,MODERATE,Immediate
IMG_7564[1] - Viren Viren.JPG,2.1425,4.19,8.4765625,uneven_wear,MODERATE,Immediate
IMG_7567[1] - Viren Viren.JPG,2.0225,4.91,6.601562499999998,even,MODERATE,Immediate
IMG_7570[1] - Viren Viren.JPG,3.956666666666667,6.12,36.822916666666664,even,LOW,High
IMG_7573[1] - Viren Viren.JPG,3.6933333333333334,5.16,32.70833333333333,uneven_wear,LOW,High
IMG_7576[1] - Viren Viren.JPG,3.8866666666666667,6.08,35.729166666666664,even,LOW,High
IMG_7579[1] - Viren Viren.JPG,3.953333333333333,6.12,36.77083333333332,even,LOW,High
IMG_7582[1] - Viren Viren.JPG,1.7425,4.74,2.226562499999998,even,MODERATE,Immediate
IMG_7585[1] - Viren Viren.JPG,1.7125,3.92,1.7578124999999973,uneven_wear,MODERATE,Immediate
IMG_7588[1] - Viren Viren.JPG,0.9825,1.61,0.0,critical_wear,CRITICAL,Immediate
IMG_7591[1] - Viren Viren.JPG,1.1475,1.72,0.0,critical_wear,CRITICAL,Immediate
IMG_7594[1] - Viren Viren.JPG,3.54,5.86,30.312499999999996,even,LOW,High
IMG_7597[1] - Viren Viren.JPG,3.635,5.92,31.796874999999993,even,LOW,High
IMG_7600[1] - Viren Viren.JPG,3.5475000000000003,5.87,30.429687500000004,even,LOW,High
IMG_7603[1] - Viren Viren.JPG,3.15,5.22,24.218749999999996,center_wear,LOW,High
IMG_7879[1] - Viren Viren.JPG,1.5266666666666666,1.76,0.0,critical_wear,CRITICAL,Immediate
IMG_7882[1] - Viren Viren.JPG,1.5333333333333332,1.76,0.0,critical_wear,CRITICAL,Immediate
IMG_7885[1] - Viren Viren.JPG,1.616666666666667,3.47,0.2604166666666692,uneven_wear,HIGH,Immediate
IMG_7888[1] - Viren Viren.JPG,2.06,3.73,7.187499999999999,uneven_wear,HIGH,Immediate
IMG_7891[1] - Viren Viren.JPG,2.7550000000000003,4.57,18.046875000000004,uneven_wear,MODERATE,Immediate
IMG_7897[1] - Viren Viren.JPG,2.2675,4.27,10.4296875,uneven_wear,MODERATE,Immediate
IMG_7900[1] - Viren Viren.JPG,2.215,5.03,9.609374999999996,even,MODERATE,Immediate
IMG_7903[1] - Viren Viren.JPG,1.25,1.6,0.0,critical_wear,CRITICAL,Immediate
IMG_7906[1] - Viren Viren.JPG,1.245,1.6,0.0,critical_wear,CRITICAL,Immediate
IMG_7909[1] - Viren Viren.JPG,1.05,1.49,0.0,critical_wear,CRITICAL,Immediate
IMG_7912[1] - Viren Viren.JPG,1.64,4.21,0.6249999999999971,even,MODERATE,Immediate
IMG_7915[1] - Viren Viren.JPG,1.5533333333333335,1.77,0.0,critical_wear,CRITICAL,Immediate
IMG_7918[1] - Viren Viren.JPG,1.95,4.38,5.468749999999998,even,MODERATE,Immediate
IMG_7921[1] - Viren Viren.JPG,1.5899999999999999,1.99,0.0,critical_wear,CRITICAL,Immediate
IMG_7924[1] - Viren Viren.JPG,1.8266666666666669,4.79,3.5416666666666687,even,MODERATE,Immediate
IMG_7927[1] - Viren Viren.JPG,2.7566666666666673,4.57,18.072916666666675,uneven_wear,MODERATE,Immediate
IMG_7930[1] - Viren Viren.JPG,3.1733333333333333,4.83,24.583333333333332,uneven_wear,LOW,High
IMG_7933[1] - Viren Viren.JPG,2.046666666666667,4.93,6.979166666666668,even,MODERATE,Immediate
IMG_7936[1] - Viren Viren.JPG,2.8000000000000003,5.4,18.750000000000004,even,MODERATE,Immediate
IMG_7939[1] - Viren Viren.JPG,2.5400000000000005,4.44,14.687500000000005,uneven_wear,MODERATE,Immediate
IMG_7942[1] - Viren Viren.JPG,2.39,5.14,12.34375,even,MODERATE,Immediate
IMG_7945[1] - Viren Viren.JPG,2.36,5.12,11.874999999999996,even,MODERATE,Immediate
IMG_7948[1] - Viren Viren.JPG,2.516666666666666,5.22,14.322916666666657,even,MODERATE,Immediate
IMG_7951[1] - Viren Viren.JPG,1.3133333333333332,1.64,0.0,critical_wear,CRITICAL,Immediate
IMG_7954[1] - Viren Viren.JPG,1.11,1.52,0.0,critical_wear,CRITICAL,Immediate
IMG_7957[1] - Viren Viren.JPG,2.566666666666667,5.25,15.104166666666668,even,MODERATE,Immediate
IMG_7960[1] - Viren Viren.JPG,2.6633333333333336,4.51,16.614583333333336,uneven_wear,MODERATE,Immediate
IMG_8169[1] - Viren Viren.JPG,3.4450000000000003,5.8,28.828125,even,LOW,High
IMG_8172[1] - Viren Viren.JPG,3.46,5.81,29.062499999999996,even,LOW,High
IMG_8175[1] - Viren Viren.JPG,3.5075,5.84,29.804687499999993,even,LOW,High
IMG_8178[1] - Viren Viren.JPG,2.13,4.58,8.281249999999996,center_wear,MODERATE,Immediate
IMG_8181[1] - Viren Viren.JPG,2.585,4.47,15.390624999999996,uneven_wear,MODERATE,Immediate
IMG_8187[1] - Viren Viren.JPG,2.6525,4.91,16.445312499999996,center_wear,MODERATE,Immediate
IMG_8197[1] - Viren Viren.JPG,1.1233333333333333,1.7,0.0,critical_wear,CRITICAL,Immediate
IMG_8200[1] - Viren Viren.JPG,2.13,4.98,8.281249999999996,even,MODERATE,Immediate
IMG_8203[1] - Viren Viren.JPG,2.91,5.47,20.46875,even,MODERATE,High
IMG_8207[1] - Viren Viren.JPG,1.6300000000000001,4.67,0.46875000000000044,even,MODERATE,Immediate
IMG_8210[1] - Viren Viren.JPG,2.2775,3.84,10.585937499999996,uneven_wear,HIGH,Immediate
IMG_8214[1] - Viren Viren.JPG,1.0999999999999999,1.52,0.0,critical_wear,CRITICAL,Immediate
IMG_8217[1] - Viren Viren.JPG,3.1775,5.08,24.6484375,even,LOW,High
IMG_8221[1] - Viren Viren.JPG,3.0549999999999997,5.56,22.734374999999993,even,LOW,High
IMG_8224[1] - Viren Viren.JPG,2.845,5.43,19.453125,even,MODERATE,Immediate
IMG_8227[1] - Viren Viren.JPG,2.8249999999999997,5.42,19.140624999999993,even,MODERATE,Immediate
IMG_8231[1] - Viren Viren.JPG,3.0,4.72,21.874999999999996,uneven_wear,LOW,High
IMG_8234[1] - Viren Viren.JPG,2.3875,5.14,12.304687500000002,even,MODERATE,Immediate
IMG_8237[1] - Viren Viren.JPG,2.3525,5.12,11.7578125,even,MODERATE,Immediate
IMG_8240[1] - Viren Viren.JPG,2.5000000000000004,4.41,14.062500000000005,uneven_wear,MODERATE,Immediate
IMG_8243[1] - Viren Viren.JPG,2.48,5.2,13.749999999999998,even,MODERATE,Immediate
IMG_8246[1] - Viren Viren.JPG,1.7025000000000001,4.71,1.6015625000000004,even,MODERATE,Immediate
IMG_8250[1] - Viren Viren.JPG,1.48,1.92,0.0,critical_wear,CRITICAL,Immediate
IMG_8253[1] - Viren Viren.JPG,1.4125,1.88,0.0,critical_wear,CRITICAL,Immediate
IMG_8277[1] - Viren Viren.JPG,3.2566666666666664,5.69,25.88541666666666,even,LOW,High
IMG_8280[1] - Viren Viren.JPG,1.1766666666666667,1.74,0.0,critical_wear,CRITICAL,Immediate
IMG_8283[1] - Viren Viren.JPG,0.8966666666666668,1.56,0.0,critical_wear,CRITICAL,Immediate
IMG_8286[1] - Viren Viren.JPG,1.2325,1.77,0.0,critical_wear,CRITICAL,Immediate
IMG_8289[1] - Viren Viren.JPG,1.15,1.55,0.0,critical_wear,CRITICAL,Immediate
IMG_8292[1] - Viren Viren.JPG,1.2366666666666666,1.59,0.0,critical_wear,CRITICAL,Immediate
IMG_8295[1] - Viren Viren.JPG,2.026666666666667,4.43,6.666666666666668,even,MODERATE,Immediate
IMG_8298[1] - Viren Viren.JPG,3.503333333333334,5.84,29.739583333333336,even,LOW,High
IMG_8301[1] - Viren Viren.JPG,2.5799999999999996,5.26,15.312499999999993,even,MODERATE,Immediate
IMG_8304[1] - Viren Viren.JPG,3.2266666666666666,5.67,25.41666666666666,even,LOW,High
IMG_8307[1] - Viren Viren.JPG,2.9,4.91,20.312499999999996,even,MODERATE,High
IMG_8310[1] - Viren Viren.JPG,3.313333333333333,5.72,26.77083333333333,even,LOW,High
IMG_8313[1] - Viren Viren.JPG,1.5,1.75,0.0,critical_wear,CRITICAL,Immediate
IMG_8316[1] - Viren Viren.JPG,1.7033333333333331,4.24,1.614583333333329,even,MODERATE,Immediate
IMG_8319[1] - Viren Viren.JPG,3.266666666666667,5.69,26.041666666666668,even,LOW,High
IMG_8322[1] - Viren Viren.JPG,3.53,5.86,30.156249999999996,even,LOW,High
IMG_8325[1] - Viren Viren.JPG,1.45,1.72,0.0,critical_wear,CRITICAL,Immediate
IMG_8328[1] - Viren Viren.JPG,1.4699999999999998,1.73,0.0,critical_wear,CRITICAL,Immediate
IMG_8372[1] - Viren Viren.JPG,3.2024999999999997,5.65,25.039062499999993,even,LOW,High
IMG_8375[1] - Viren Viren.JPG,2.7725,5.38,18.320312499999996,even,MODERATE,Immediate
IMG_8381[1] - Viren Viren.JPG,2.495,4.41,13.984374999999998,uneven_wear,MODERATE,Immediate
IMG_8384[1] - Viren Viren.JPG,2.505,4.82,14.140624999999996,center_wear,MODERATE,Immediate
IMG_8387[1] - Viren Viren.JPG,2.3725,4.73,12.0703125,center_wear,MODERATE,Immediate
IMG_8394[1] - Viren Viren.JPG,1.8800000000000001,4.82,4.375,even,MODERATE,Immediate
IMG_8397[1] - Viren Viren.JPG,1.6433333333333333,4.68,0.6770833333333316,even,MODERATE,Immediate
IMG_8400[1] - Viren Viren.JPG,1.5533333333333335,1.97,0.0,critical_wear,CRITICAL,Immediate
IMG_8403[1] - Viren Viren.JPG,2.5500000000000003,5.24,14.843750000000004,even,MODERATE,Immediate
IMG_8406[1] - Viren Viren.JPG,3.0125,5.13,22.0703125,center_wear,LOW,High
IMG_8409[1] - Viren Viren.JPG,3.3575,5.75,27.460937499999993,even,LOW,High
IMG_8412[1] - Viren Viren.JPG,2.6799999999999997,4.53,16.874999999999993,uneven_wear,MODERATE,Immediate
IMG_8415[1] - Viren Viren.JPG,3.16,4.82,24.375,uneven_wear,LOW,High
IMG_8418[1] - Viren Viren.JPG,3.5233333333333334,5.85,30.05208333333333,even,LOW,High
IMG_8421[1] - Viren Viren.JPG,3.073333333333333,5.57,23.020833333333325,even,LOW,High
IMG_8424[1] - Viren Viren.JPG,3.23,5.67,25.468749999999996,even,LOW,High
IMG_8427[1] - Viren Viren.JPG,0.7675,1.48,0.0,critical_wear,CRITICAL,Immediate
IMG_8430[1] - Viren Viren.JPG,2.19,5.02,9.218749999999998,even,MODERATE,Immediate
IMG_8433[1] - Viren Viren.JPG,2.17,4.61,8.906249999999998,center_wear,MODERATE,Immediate
IMG_8436[1] - Viren Viren.JPG,3.3200000000000003,5.72,26.875,even,LOW,High
IMG_8439[1] - Viren Viren.JPG,3.23,4.87,25.468749999999996,uneven_wear,LOW,High
IMG_8442[1] - Viren Viren.JPG,3.6133333333333333,5.91,31.45833333333333,even,LOW,High
IMG_8445[1] - Viren Viren.JPG,3.0700000000000003,5.57,22.96875,even,LOW,High
IMG_8448[1] - Viren Viren.JPG,3.3466666666666662,5.74,27.291666666666657,even,LOW,High
IMG_8451[1] - Viren Viren.JPG,3.0666666666666664,5.57,22.91666666666666,even,LOW,High
IMG_8454[1] - Viren Viren.JPG,3.2866666666666666,5.7,26.35416666666666,even,LOW,High
IMG_8458[1] - Viren Viren.JPG,3.11,5.59,23.593749999999996,even,LOW,High
IMG_8461[1] - Viren Viren.JPG,2.0875,4.95,7.617187499999997,even,MODERATE,Immediate
IMG_8464[1] - Viren Viren.JPG,2.0,4.9,6.249999999999998,even,MODERATE,Immediate
IMG_8467[1] - Viren Viren.JPG,3.1925,4.85,24.882812499999996,uneven_wear,LOW,High
IMG_8469[1] - Viren Viren.JPG,2.61,5.28,15.781249999999996,even,MODERATE,Immediate
IMG_8472[1] - Viren Viren.JPG,2.925,5.48,20.703124999999993,even,MODERATE,High
IMG_8476[1] - Viren Viren.JPG,2.8175000000000003,5.41,19.023437500000004,even,MODERATE,Immediate
IMG_8479[1] - Viren Viren.JPG,3.1925,5.65,24.882812499999996,even,LOW,High
IMG_8482[1] - Viren Viren.JPG,2.1599999999999997,5.0,8.749999999999995,even,MODERATE,Immediate
IMG_8485[1] - Viren Viren.JPG,2.655,5.31,16.484374999999996,even,MODERATE,Immediate
IMG_8489[1] - Viren Viren.JPG,2.0425000000000004,4.93,6.914062500000005,even,MODERATE,Immediate
IMG_8491[1] - Viren Viren.JPG,3.1799999999999997,5.64,24.687499999999993,even,LOW,High
IMG_8494[1] - Viren Viren.JPG,3.165,4.73,24.453124999999996,one_sided_wear,LOW,High
IMG_8497[1] - Viren Viren.JPG,2.6825,4.53,16.9140625,uneven_wear,MODERATE,Immediate
IMG_8500[1] - Viren Viren.JPG,3.01,5.53,22.031249999999993,even,LOW,High
IMG_8826 - Viren Viren.JPG,1.2333333333333334,1.59,0.0,critical_wear,CRITICAL,Immediate
IMG_8829 - Viren Viren.JPG,3.75,5.19,33.59374999999999,uneven_wear,LOW,High
IMG_8832 - Viren Viren.JPG,4.426666666666667,7.47,44.166666666666664,even,LOW,Medium
IMG_8835[1] - Viren Viren.JPG,2.2575,4.55,10.273437499999996,even,MODERATE,Immediate
IMG_8838 - Viren Viren.JPG,3.216666666666667,4.96,25.260416666666664,edge_wear,LOW,High
IMG_8841 - Viren Viren.JPG,4.739999999999999,6.86,49.062499999999986,uneven_wear,LOW,Medium
IMG_8844[1] - Viren Viren.JPG,3.465,5.82,29.140624999999993,even,LOW,High
IMG_8847 - Viren Viren.JPG,4.7299999999999995,6.86,48.90624999999999,uneven_wear,LOW,Medium
IMG_8850 - Viren Viren.JPG,2.9574999999999996,4.7,21.21093749999999,uneven_wear,MODERATE,High
IMG_8853 - Viren Viren.JPG,4.753333333333333,6.54,49.27083333333332,center_wear,LOW,Medium
IMG_8856 - Viren Viren.JPG,6.123333333333334,8.53,70.67708333333333,even,LOW,Low
IMG_8859[1] - Viren Viren.JPG,3.2099999999999995,4.96,25.156249999999993,edge_wear,LOW,High
IMG_8862 - Viren Viren.JPG,3.3833333333333333,5.06,27.864583333333332,edge_wear,LOW,High
IMG_8865 - Viren Viren.JPG,6.173333333333335,8.56,71.45833333333334,even,LOW,Low
IMG_8868 - Viren Viren.JPG,4.696666666666666,6.84,48.38541666666666,uneven_wear,LOW,Medium
IMG_8871 - Viren Viren.JPG,7.329999999999999,9.28,89.53124999999997,even,LOW,Low
IMG_8874 - Viren Viren.JPG,7.246666666666666,8.83,88.22916666666666,center_wear,LOW,Low
IMG_8877 - Viren Viren.JPG,7.6000000000000005,8.65,93.75,uneven_wear,LOW,Low
IMG_8880 - Viren Viren.JPG,6.095,8.11,70.23437499999999,center_wear,LOW,Low
IMG_8884 - Viren Viren.JPG,6.9975,8.67,84.33593749999999,center_wear,LOW,Low
IMG_8887 - Viren Viren.JPG,7.045,8.3,85.078125,uneven_wear,LOW,Low
