image_id,image_path,wear_class,wear_label,tread_depth_mm,feature_tread_spread,feature_center_edge_gap,crack_detected,groove_visible,surface_texture,confidence
IMG_19022639 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022639 - Viren Viren.jpg,3,even,3.3833333333333333,0.046666667,-0.046666667,0,True,smooth,0.95
IMG_19022640 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022640 - Viren Viren.jpg,3,even,3.47,0.0,-4.440892e-16,0,True,smooth,0.95
IMG_19022641 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022641 - Viren Viren.jpg,3,even,3.3850000000000002,0.21,0.36,0,True,smooth,0.95
IMG_19022642 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022642 - Viren Viren.jpg,3,even,3.21,0.16,0.38,0,True,smooth,0.95
IMG_19022643 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022643 - Viren Viren.jpg,2,uneven_wear,3.3950000000000005,0.63,0.02,0,True,uneven,0.95
IMG_19022644 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022644 - Viren Viren.jpg,3,even,3.1450000000000005,0.23,0.12,0,True,smooth,0.95
IMG_19022645 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022645 - Viren Viren.jpg,3,even,3.05,0.11,0.07,0,True,smooth,0.95
IMG_19022646 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022646 - Viren Viren.jpg,3,even,2.6075,0.01,0.165,0,True,smooth,0.95
IMG_19022647 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022647 - Viren Viren.jpg,3,even,2.6775,0.14,0.215,0,True,smooth,0.95
IMG_7342[1] - Viren Viren.JPG,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_7342[1] - Viren Viren.JPG,3,even,2.0775,0.11,-0.175,0,True,smooth,0.95
IMG_7345 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_7345 - Ubaid Elahi Baba.jpeg,1,edge_wear,1.9525000000000001,0.14,-0.595,0,True,uneven,0.95
IMG_7348 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_7348 - Ubaid Elahi Baba.jpeg,3,even,2.33,0.22,-0.22,0,True,smooth,0.95
IMG_7351 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_7351 - Ubaid Elahi Baba.jpeg,3,even,2.6725,0.03,-0.185,0,True,smooth,0.95
IMG_7354 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_7354 - Ubaid Elahi Baba.jpeg,0,center_wear,3.4125,0.79,0.595,0,True,uneven,0.95
IMG_7357 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_7357 - Ubaid Elahi Baba.jpeg,3,even,3.6025,0.07,0.215,0,True,smooth,0.95
IMG_7361 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_7361 - Ubaid Elahi Baba.jpeg,3,even,3.3750000000000004,0.02,0.11,0,True,smooth,0.95
IMG_7364 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_7364 - Ubaid Elahi Baba.jpeg,3,even,3.3775000000000004,0.19,0.245,0,True,smooth,0.95
IMG_7367 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_7367 - Ubaid Elahi Baba.jpeg,3,even,2.1,0.16,0.16,0,True,smooth,0.95
IMG_7370 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_7370 - Ubaid Elahi Baba.jpeg,3,even,2.17,0.18,0.18,0,True,smooth,0.95
IMG_7373 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_7373 - Ubaid Elahi Baba.jpeg,5,critical_wear,1.4066666666666665,0.053333335,-0.053333335,0,True,uneven,0.95
IMG_7376 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_7376 - Ubaid Elahi Baba.jpeg,0,center_wear,2.466666666666667,0.7266667,0.7266667,0,True,uneven,0.95
IMG_7380 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_7380 - Ubaid Elahi Baba.jpeg,3,even,2.0966666666666662,0.036666665,0.036666665,0,True,smooth,0.95
IMG_7384 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_7384 - Ubaid Elahi Baba.jpeg,3,even,2.1333333333333333,0.14333333,0.14333333,0,True,smooth,0.95
IMG_7387 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_7387 - Ubaid Elahi Baba.jpeg,3,even,3.653333333333333,0.083333336,0.083333336,0,True,smooth,0.95
IMG_7390 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_7390 - Ubaid Elahi Baba.jpeg,3,even,3.6300000000000003,0.05,0.05,0,True,smooth,0.95
IMG_7394 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_7394 - Ubaid Elahi Baba.jpeg,3,even,1.8233333333333333,0.10333333,0.10333333,0,True,smooth,0.95
IMG_7398 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_7398 - Ubaid Elahi Baba.jpeg,3,even,2.0366666666666666,0.096666664,0.096666664,0,True,smooth,0.95
IMG_7401 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_7401 - Ubaid Elahi Baba.jpeg,3,even,2.6366666666666667,0.11666667,0.11666667,0,True,smooth,0.95
IMG_7405 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_7405 - Ubaid Elahi Baba.jpeg,3,even,2.4333333333333336,0.123333335,0.123333335,0,True,smooth,0.95
IMG_7408 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_7408 - Ubaid Elahi Baba.jpeg,5,critical_wear,0.8533333333333334,0.24333334,0.24333334,0,True,uneven,0.95
IMG_7411 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_7411 - Ubaid Elahi Baba.jpeg,5,critical_wear,0.8633333333333333,0.043333333,0.043333333,0,True,uneven,0.95
IMG_7415 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_7415 - Ubaid Elahi Baba.jpeg,5,critical_wear,0.41,0.32,0.32,0,True,uneven,0.95
IMG_7418 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_7418 - Ubaid Elahi Baba.jpeg,5,critical_wear,0.6733333333333333,0.07666667,-0.07666667,0,True,uneven,0.95
IMG_7421 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_7421 - Ubaid Elahi Baba.jpeg,3,even,1.9266666666666665,0.10666667,0.10666667,0,True,smooth,0.95
IMG_7424 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_7424 - Ubaid Elahi Baba.jpeg,3,even,2.12,0.26,0.26,0,True,smooth,0.95
IMG_7427 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_7427 - Ubaid Elahi Baba.jpeg,5,critical_wear,1.5966666666666667,0.013333334,-0.013333334,0,True,uneven,0.95
IMG_7430 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_7430 - Ubaid Elahi Baba.jpeg,2,uneven_wear,1.7466666666666668,0.033333335,-0.033333335,0,True,uneven,0.95
IMG_7433 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_7433 - Ubaid Elahi Baba.jpeg,3,even,2.2633333333333336,0.093333334,0.093333334,0,True,smooth,0.95
IMG_7436 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_7436 - Ubaid Elahi Baba.jpeg,5,critical_wear,1.5866666666666667,0.123333335,-0.123333335,0,True,uneven,0.95
IMG_7439 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_7439 - Ubaid Elahi Baba.jpeg,3,even,1.8699999999999999,0.18,-0.18,0,True,smooth,0.95
IMG_7442 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_7442 - Ubaid Elahi Baba.jpeg,5,critical_wear,0.6833333333333335,0.24666667,-0.24666667,0,True,uneven,0.95
IMG_7445 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_7445 - Ubaid Elahi Baba.jpeg,5,critical_wear,0.6833333333333335,0.24666667,-0.24666667,0,True,uneven,0.95
IMG_7448 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_7448 - Ubaid Elahi Baba.jpeg,5,critical_wear,0.9,0.41,-0.41,0,True,uneven,0.95
IMG_7451 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_7451 - Ubaid Elahi Baba.jpeg,3,even,1.68,0.25,0.25,0,True,smooth,0.95
IMG_7454 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_7454 - Ubaid Elahi Baba.jpeg,2,uneven_wear,2.1133333333333333,0.19666667,-0.19666667,0,True,uneven,0.95
IMG_7457 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_7457 - Ubaid Elahi Baba.jpeg,0,center_wear,3.026666666666667,0.69666666,0.69666666,0,True,uneven,0.95
IMG_7460 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_7460 - Ubaid Elahi Baba.jpeg,3,even,1.6666666666666667,0.18666667,0.18666667,0,True,smooth,0.95
IMG_7463 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_7463 - Ubaid Elahi Baba.jpeg,3,even,1.9333333333333333,0.27333334,0.27333334,0,True,smooth,0.95
IMG_7463[1] - Viren Viren.JPG,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_7463[1] - Viren Viren.JPG,3,even,3.6233333333333335,0.07666667,-0.07666667,0,True,smooth,0.95
IMG_7469[2] - Viren Viren.JPG,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_7469[2] - Viren Viren.JPG,3,even,3.36,0.2,0.1,0,True,smooth,0.95
IMG_7472[1] - Viren Viren.JPG,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_7472[1] - Viren Viren.JPG,3,even,3.55,0.3,0.18,0,True,smooth,0.95
IMG_7475[1] - Viren Viren.JPG,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_7475[1] - Viren Viren.JPG,3,even,2.46,0.08,0.14,0,True,smooth,0.95
IMG_7478[1] - Viren Viren.JPG,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_7478[1] - Viren Viren.JPG,3,even,2.605,0.36,0.09,0,True,smooth,0.95
IMG_7481[1] - Viren Viren.JPG,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_7481[1] - Viren Viren.JPG,5,critical_wear,0.7333333333333333,0.24333334,0.24333334,0,True,uneven,0.95
IMG_7484[1] - Viren Viren.JPG,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_7484[1] - Viren Viren.JPG,5,critical_wear,0.8566666666666666,0.086666666,0.086666666,0,True,uneven,0.95
IMG_7487[2] - Viren Viren.JPG,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_7487[2] - Viren Viren.JPG,5,critical_wear,0.5233333333333333,0.0033333334,0.0033333334,0,True,uneven,0.95
IMG_7490[1] - Viren Viren.JPG,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_7490[1] - Viren Viren.JPG,5,critical_wear,0.32333333333333336,0.016666668,-0.016666668,0,True,uneven,0.95
IMG_7493[1] - Viren Viren.JPG,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_7493[1] - Viren Viren.JPG,5,critical_wear,1.5333333333333334,0.25333333,0.25333333,0,True,uneven,0.95
IMG_7496[1] - Viren Viren.JPG,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_7496[1] - Viren Viren.JPG,3,even,1.6533333333333333,0.053333335,0.053333335,0,True,smooth,0.95
IMG_7499[2] - Viren Viren.JPG,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_7499[2] - Viren Viren.JPG,5,critical_wear,0.8633333333333333,0.053333335,0.053333335,0,True,uneven,0.95
IMG_7502[1] - Viren Viren.JPG,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_7502[1] - Viren Viren.JPG,5,critical_wear,0.2833333333333333,0.06333333,0.06333333,0,True,uneven,0.95
IMG_7509[1] - Viren Viren.JPG,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_7509[1] - Viren Viren.JPG,3,even,3.0866666666666664,0.046666667,0.046666667,0,True,smooth,0.95
IMG_7512[1] - 25cp08 tyre.JPG,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_7512[1] - 25cp08 tyre.JPG,3,even,3.033333333333333,0.023333333,0.023333333,0,True,smooth,0.95
IMG_7515[1] - Viren Viren.JPG,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_7515[1] - Viren Viren.JPG,3,even,3.5066666666666664,0.06333333,-0.06333333,0,True,smooth,0.95
IMG_7518[1] - 25cp08 tyre.JPG,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_7518[1] - 25cp08 tyre.JPG,3,even,1.8633333333333333,0.14666666,-0.14666666,0,True,smooth,0.95
