image_id,sidewall_image_path,brand_raw,brand_cleaned,tire_size_raw,tire_size_cleaned,manufacture_week,manufacture_year,ocr_confidence
IMG_19022630 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\MRF\IMG_19022677 - Viren Viren.jpg,MRF,MRF,165/70 R14,165/70 R14,2.0,2023.0,0.95
IMG_19022631 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\MRF\IMG_19022678 - Viren Viren.jpg,MRF,MRF,165/70 R14,165/70 R14,2.0,2023.0,0.95
IMG_19022632 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\MRF\IMG_19022679 - Viren Viren.jpg,MRF,MRF,165/70 R14,165/70 R14,2.0,2023.0,0.95
IMG_19022633 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Yokohama\IMG_19022680 - Viren Viren.jpg,Yokohama,Yokohama,175/60 R15,175/60 R15,47.0,2022.0,0.95
IMG_19022634 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Yokohama\IMG_19022681 - Viren Viren.jpg,Yokohama,Yokohama,175/60 R15,175/60 R15,47.0,2022.0,0.95
IMG_19022635 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Yokohama\IMG_19022682 - Viren Viren.jpg,Yokohama,Yokohama,175/60 R15,175/60 R15,47.0,2022.0,0.95
IMG_19022636 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Yokohama\IMG_19022683 - Viren Viren.jpg,Yokohama,Yokohama,175/60 R15,175/60 R15,47.0,2022.0,0.95
IMG_19022637 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\CEAT\IMG_19022684 - Viren Viren.jpg,CEAT,CEAT,145/80 R12,145/80 R12,2.0,2025.0,0.95
IMG_19022638 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\CEAT\IMG_19022685 - Viren Viren.jpg,CEAT,CEAT,145/80 R12,145/80 R12,2.0,2025.0,0.95
IMG_19022639 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\CEAT\IMG_19022686 - Viren Viren.jpg,CEAT,CEAT,145/80 R12,145/80 R12,2.0,2025.0,0.95
IMG_19022640 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\CEAT\IMG_19022687 - Viren Viren.jpg,CEAT,CEAT,145/80 R12,145/80 R12,2.0,2025.0,0.95
IMG_19022641 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Michelin\IMG_19022688 - Viren Viren.jpg,Michelin,Michelin,205/55 ZR16,205/55 ZR16,23.0,2024.0,0.95
IMG_19022642 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Michelin\IMG_19022689 - Viren Viren.jpg,Michelin,Michelin,205/55 ZR16,205/55 ZR16,23.0,2024.0,0.95
IMG_19022643 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Michelin\IMG_19022691 - Viren Viren.jpg,Michelin,Michelin,205/55 ZR16,205/55 ZR16,23.0,2024.0,0.95
IMG_19022644 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\CEAT\IMG_19022692 - Viren Viren.jpg,CEAT,CEAT,205/55 R16,205/55 R16,37.0,2022.0,0.95
IMG_19022645 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\CEAT\IMG_19022693 - Viren Viren.jpg,CEAT,CEAT,205/55 R16,205/55 R16,37.0,2022.0,0.95
IMG_19022646 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\CEAT\IMG_19022694 - Viren Viren.jpg,CEAT,CEAT,205/55 R16,205/55 R16,37.0,2022.0,0.95
IMG_19022647 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\CEAT\IMG_19022695 - Viren Viren.jpg,CEAT,CEAT,205/55 R16,205/55 R16,37.0,2022.0,0.95
IMG_7342[1] - Viren Viren.JPG,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Goodyear\IMG_7343 - Ubaid Elahi Baba.jpeg,Goodyear,Goodyear,195/60 R16,195/60 R16,49.0,2024.0,0.95
IMG_7345 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Goodyear\IMG_7346 - Ubaid Elahi Baba.jpeg,Goodyear,Goodyear,195/60 R16,195/60 R16,49.0,2024.0,0.95
IMG_7348 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Goodyear\IMG_7349 - Ubaid Elahi Baba.jpeg,Goodyear,Goodyear,195/60 R16,195/60 R16,49.0,2024.0,0.95
IMG_7351 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Goodyear\IMG_7352 - Ubaid Elahi Baba.jpeg,Goodyear,Goodyear,195/60 R16,195/60 R16,49.0,2024.0,0.95
IMG_7354 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\JK Tyre\IMG_7355 - Ubaid Elahi Baba.jpeg,JK Tyre,JK Tyre,205/60 R17,205/60 R17,30.0,2025.0,0.95
IMG_7357 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\JK Tyre\IMG_7359 - Ubaid Elahi Baba.jpeg,JK Tyre,JK Tyre,205/60 R17,205/60 R17,30.0,2025.0,0.95
IMG_7361 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\JK Tyre\IMG_7362 - Ubaid Elahi Baba.jpeg,JK Tyre,JK Tyre,205/60 R17,205/60 R17,30.0,2025.0,0.95
IMG_7364 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\JK Tyre\IMG_7365 - Ubaid Elahi Baba.jpeg,JK Tyre,JK Tyre,205/60 R17,205/60 R17,30.0,2025.0,0.95
IMG_7367 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Bridgestone\IMG_7368 - Ubaid Elahi Baba.jpeg,Bridgestone,Bridgestone,165/70 R15,165/70 R15,13.0,2022.0,0.95
IMG_7370 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\MRF\IMG_7371 - Ubaid Elahi Baba.jpeg,MRF,MRF,165/70 R14,165/70 R14,2.0,2015.0,0.95
IMG_7373 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Bridgestone\IMG_7374 - Ubaid Elahi Baba.jpeg,Bridgestone,Bridgestone,165/70 R14,165/70 R14,13.0,2022.0,0.95
IMG_7376 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Bridgestone\IMG_7377 - Ubaid Elahi Baba.jpeg,Bridgestone,Bridgestone,165/70 R14,165/70 R14,13.0,2022.0,0.95
IMG_7380 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Apollo\IMG_7382 - Ubaid Elahi Baba.jpeg,Apollo,Apollo,165/70 R14,165/70 R14,11.0,2024.0,0.95
IMG_7384 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Apollo\IMG_7385 - Ubaid Elahi Baba.jpeg,Apollo,Apollo,165/70 R14,165/70 R14,11.0,2024.0,0.95
IMG_7387 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Apollo\IMG_7388 - Ubaid Elahi Baba.jpeg,Apollo,Apollo,165/70 R14,165/70 R14,11.0,2024.0,0.95
IMG_7390 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Apollo\IMG_7391 - Ubaid Elahi Baba.jpeg,Apollo,Apollo,165/70 R14,165/70 R14,11.0,2024.0,0.95
IMG_7394 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Bridgestone\IMG_7395 - Ubaid Elahi Baba.jpeg,Bridgestone,Bridgestone,185/65 R15,185/65 R15,4.0,2025.0,0.95
IMG_7398 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Bridgestone\IMG_7399 - Ubaid Elahi Baba.jpeg,Bridgestone,Bridgestone,185/65 R15,185/65 R15,4.0,2025.0,0.95
IMG_7401 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Bridgestone\IMG_7403 - Ubaid Elahi Baba.jpeg,Bridgestone,Bridgestone,185/65 R15,185/65 R15,4.0,2025.0,0.95
IMG_7405 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Bridgestone\IMG_7406 - Ubaid Elahi Baba.jpeg,Bridgestone,Bridgestone,185/65 R15,185/65 R15,4.0,2025.0,0.95
IMG_7408 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\JK Tyre\IMG_7409 - Ubaid Elahi Baba.jpeg,JK Tyre,JK Tyre,165/80 R14,165/80 R14,46.0,2022.0,0.95
IMG_7411 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\JK Tyre\IMG_7413 - Ubaid Elahi Baba.jpeg,JK Tyre,JK Tyre,165/80 R14,165/80 R14,46.0,2022.0,0.95
IMG_7415 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Bridgestone\IMG_7416 - Ubaid Elahi Baba.jpeg,Bridgestone,Bridgestone,165/80 R14,165/80 R14,40.0,2019.0,0.95
IMG_7418 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Bridgestone\IMG_7419 - Ubaid Elahi Baba.jpeg,Bridgestone,Bridgestone,165/80 R14,165/80 R14,,,0.95
IMG_7421 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Bridgestone\IMG_7422 - Ubaid Elahi Baba.jpeg,Bridgestone,Bridgestone,185/65 R15,185/65 R15,16.0,2024.0,0.95
IMG_7424 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Bridgestone\IMG_7425 - Ubaid Elahi Baba.jpeg,Bridgestone,Bridgestone,185/65 R15,185/65 R15,16.0,2024.0,0.95
IMG_7427 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Bridgestone\IMG_7428 - Ubaid Elahi Baba.jpeg,Bridgestone,Bridgestone,185/65 R15,185/65 R15,16.0,2024.0,0.95
IMG_7430 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Bridgestone\IMG_7431 - Ubaid Elahi Baba.jpeg,Bridgestone,Bridgestone,185/65 R15,185/65 R15,16.0,2024.0,0.95
IMG_7433 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Apollo\IMG_7434 - Ubaid Elahi Baba.jpeg,Apollo,Apollo,145/80 R12,145/80 R12,8.0,2015.0,0.95
IMG_7436 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Apollo\IMG_7437 - Ubaid Elahi Baba.jpeg,Apollo,Apollo,145/80 R12,145/80 R12,8.0,2015.0,0.95
IMG_7439 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Apollo\IMG_7440 - Ubaid Elahi Baba.jpeg,Apollo,Apollo,145/80 R12,145/80 R12,8.0,2015.0,0.95
IMG_7442 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Apollo\IMG_7443 - Ubaid Elahi Baba.jpeg,Apollo,Apollo,145/80 R12,145/80 R12,8.0,2015.0,0.95
IMG_7445 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Firestone\IMG_7446 - Ubaid Elahi Baba.jpeg,Firestone,Firestone,145/80 R12,145/80 R12,16.0,2022.0,0.95
IMG_7448 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Firestone\IMG_7449 - Ubaid Elahi Baba.jpeg,Firestone,Firestone,145/80 R12,145/80 R12,40.0,2024.0,0.95
IMG_7451 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Apollo\IMG_7452 - Ubaid Elahi Baba.jpeg,Apollo,Apollo,145/80 R12,145/80 R12,40.0,2024.0,0.95
IMG_7454 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Goodyear\IMG_7455 - Ubaid Elahi Baba.jpeg,Goodyear,Goodyear,145/80 R12,145/80 R12,52.0,2024.0,0.95
IMG_7457 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Bridgestone\IMG_7458 - Ubaid Elahi Baba.jpeg,Bridgestone,Bridgestone,155/65 R14,155/65 R14,34.0,2023.0,0.95
IMG_7460 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Bridgestone\IMG_7461 - Ubaid Elahi Baba.jpeg,Bridgestone,Bridgestone,155/65 R14,155/65 R14,34.0,2023.0,0.95
IMG_7463 - Ubaid Elahi Baba.jpeg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\MRF\IMG_7464 - Ubaid Elahi Baba.jpeg,MRF,MRF,155/65 R14,155/65 R14,19.0,2025.0,0.95
IMG_7463[1] - Viren Viren.JPG,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\MRF\IMG_7464[1] - Viren Viren.JPG,MRF,MRF,155/65 R14,155/65 R14,19.0,2025.0,0.95
IMG_7469[2] - Viren Viren.JPG,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Yokohama\IMG_7470[1] - Viren Viren.JPG,Yokohama,Yokohama,215/60 R17,215/60 R17,24.0,2025.0,0.95
IMG_7472[1] - Viren Viren.JPG,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Yokohama\IMG_7473[1] - Viren Viren.JPG,Yokohama,Yokohama,215/60 R17,215/60 R17,6.0,2025.0,0.95
IMG_7475[1] - Viren Viren.JPG,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Yokohama\IMG_7476[1] - Viren Viren.JPG,Yokohama,Yokohama,215/60 R17,215/60 R17,6.0,2025.0,0.95
IMG_7478[1] - Viren Viren.JPG,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Yokohama\IMG_7479[1] - Viren Viren.JPG,Yokohama,Yokohama,215/60 R17,215/60 R17,4.0,2025.0,0.95
IMG_7481[1] - Viren Viren.JPG,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Apollo\IMG_7482[1] - Viren Viren.JPG,Apollo,Apollo,165/80 R14,165/80 R14,31.0,2022.0,0.95
IMG_7484[1] - Viren Viren.JPG,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Apollo\IMG_7485[1] - Viren Viren.JPG,Apollo,Apollo,165/80 R14,165/80 R14,41.0,2019.0,0.95
IMG_7487[2] - Viren Viren.JPG,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Apollo\IMG_7488[1] - Viren Viren.JPG,Apollo,Apollo,165/80 R14,165/80 R14,30.0,2022.0,0.95
IMG_7490[1] - Viren Viren.JPG,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Apollo\IMG_7491[1] - Viren Viren.JPG,Apollo,Apollo,165/80 R14,165/80 R14,30.0,2022.0,0.95
IMG_7493[1] - Viren Viren.JPG,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\sidewall_images\Bridgestone\IMG_7494[1] - Viren Viren.JPG,Bridgestone,Bridgestone,165/65 R14,165/65 R14,45.0,2022.0,0.95
